#EXPORTTYPE:DATA SINGLE
#FTYPE:ANSI
#IDENTITY:005922
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#SAMPLE:2
#SAMPLE MASS /mg:7.28
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /�V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35�C/00:00/35�C/10,0(K/min)/920�C/
#SEGMENT:S1-2/2
#SEG. 1:35�C/00:15/35�C
#SEG. 2:35�C/10,0(K/min)/920�C

##Temp./�C;Time/min;DSC/(uV/mg);Sensit./(uV/mW);Segment
 33.97600;  0.00000; 3.9824e-003;1.00000;1
 33.98564;  0.25000; 3.1440e-003;1.00000;1
 34.00776;  0.50000; 3.2488e-003;1.00000;1
 34.03218;  0.75000; 3.1440e-003;1.00000;1
 34.05276;  1.00000; 3.3536e-003;1.00000;1
 34.06923;  1.25000; 3.4584e-003;1.00000;1
 34.08182;  1.50000; 2.7248e-003;1.00000;1
 34.09324;  1.75000; 3.4584e-003;1.00000;1
 34.10847;  2.00000; 2.9344e-003;1.00000;1
 34.12312;  2.25000; 2.8296e-003;1.00000;1
 34.13618;  2.50000; 3.1440e-003;1.00000;1
 34.14771;  2.75000; 2.9344e-003;1.00000;1
 34.15324;  3.00000; 2.9344e-003;1.00000;1
 34.15806;  3.25000; 3.1440e-003;1.00000;1
 34.16100;  3.50000; 1.3624e-003;1.00000;1
 34.16376;  3.75000; 3.2488e-003;1.00000;1
 34.16953;  4.00000; 2.4104e-003;1.00000;1
 34.17700;  4.25000; 3.4584e-003;1.00000;1
 34.18312;  4.50000; 2.2008e-003;1.00000;1
 34.18659;  4.75000; 2.6200e-003;1.00000;1
 34.18865;  5.00000; 1.5720e-003;1.00000;1
 34.19218;  5.25000; 1.9912e-003;1.00000;1
 34.19294;  5.50000; 2.7248e-003;1.00000;1
 34.19318;  5.75000; 1.0480e-003;1.00000;1
 34.19524;  6.00000; 2.3056e-003;1.00000;1
 34.19906;  6.25000; 1.9912e-003;1.00000;1
 34.20065;  6.50000; 2.3056e-003;1.00000;1
 34.19976;  6.75000; 2.0960e-003;1.00000;1
 34.20253;  7.00000; 1.8864e-003;1.00000;1
 34.20388;  7.25000; 1.4672e-003;1.00000;1
 34.20600;  7.50000; 1.6768e-003;1.00000;1
 34.20453;  7.75000; 1.5720e-003;1.00000;1
 34.20118;  8.00000; 1.8864e-003;1.00000;1
 34.20200;  8.25000; 1.3624e-003;1.00000;1
 34.20176;  8.50000; 2.7248e-003;1.00000;1
 34.20118;  8.75000; 2.2008e-003;1.00000;1
 34.20347;  9.00000; 2.4104e-003;1.00000;1
 34.20265;  9.25000; 1.7816e-003;1.00000;1
 34.20318;  9.50000; 2.2008e-003;1.00000;1
 34.20324;  9.75000; 1.0480e-003;1.00000;1
 34.20500; 10.00000; 1.0480e-003;1.00000;1
 34.20876; 10.25000; 9.4319e-004;1.00000;1
 34.20871; 10.50000; 1.6768e-003;1.00000;1
 34.20641; 10.75000; 1.9912e-003;1.00000;1
 34.20712; 11.00000; 1.6768e-003;1.00000;1
 34.20765; 11.25000; 8.3840e-004;1.00000;1
 34.20771; 11.50000; 1.2576e-003;1.00000;1
 34.20853; 11.75000; 1.0480e-003;1.00000;1
 34.20588; 12.00000; 6.2880e-004;1.00000;1
 34.20988; 12.25000; 9.4319e-004;1.00000;1
 34.20829; 12.50000; 5.2400e-004;1.00000;1
 34.20865; 12.75000; 9.4319e-004;1.00000;1
 34.20776; 13.00000; 6.2880e-004;1.00000;1
 34.20865; 13.25000; 6.2880e-004;1.00000;1
 34.21177; 13.50000; 1.0480e-004;1.00000;1
 34.21424; 13.75000; 7.3360e-004;1.00000;1
 34.21224; 14.00000; 1.7816e-003;1.00000;1
 34.21053; 14.25000; 1.2576e-003;1.00000;1
 34.20835; 14.50000; 1.1528e-003;1.00000;1
 34.20900; 14.75000; 5.2400e-004;1.00000;1
 34.22108; 15.00000; 9.0777e-004;1.00000;2
 34.21049; 15.25000; 7.3085e-004;1.00000;2
 34.25831; 15.50000; 1.7510e-003;1.00000;2
 34.44920; 15.75000;-1.5784e-004;1.00000;2
 34.84544; 16.00000;-1.9157e-003;1.00000;2
 35.46710; 16.25000;-5.7110e-003;1.00000;2
 36.30742; 16.50000;-1.0309e-002;1.00000;2
 37.34251; 16.75000;-1.4405e-002;1.00000;2
 38.55148; 17.00000;-1.9099e-002;1.00000;2
 39.90639; 17.25000;-2.2413e-002;1.00000;2
 41.38813; 17.50000;-2.6860e-002;1.00000;2
 42.97527; 17.75000;-3.0173e-002;1.00000;2
 44.65488; 18.00000;-3.3768e-002;1.00000;2
 46.42406; 18.25000;-3.5969e-002;1.00000;2
 48.26587; 18.50000;-3.9822e-002;1.00000;2
 50.19397; 18.75000;-4.1229e-002;1.00000;2
 52.17875; 19.00000;-4.4350e-002;1.00000;2
 54.22524; 19.25000;-4.9346e-002;1.00000;2
 56.32557; 19.50000;-5.3274e-002;1.00000;2
 58.47110; 19.75000;-4.8192e-002;1.00000;2
 60.66140; 20.00000;-5.3299e-002;1.00000;2
 62.89915; 20.25000;-5.4681e-002;1.00000;2
 65.16764; 20.50000;-5.4207e-002;1.00000;2
 67.46730; 20.75000;-5.7002e-002;1.00000;2
 69.79150; 21.00000;-5.9284e-002;1.00000;2
 72.14683; 21.25000;-5.6590e-002;1.00000;2
 74.51336; 21.50000;-5.9477e-002;1.00000;2
 76.90669; 21.75000;-5.8606e-002;1.00000;2
 79.31675; 22.00000;-5.6649e-002;1.00000;2
 81.75552; 22.25000;-5.6294e-002;1.00000;2
 84.20921; 22.50000;-4.9302e-002;1.00000;2
 86.67746; 22.75000;-5.1985e-002;1.00000;2
 89.17272; 23.00000;-5.1370e-002;1.00000;2
 91.68109; 23.25000;-5.3422e-002;1.00000;2
 94.20287; 23.50000;-5.3055e-002;1.00000;2
 96.73827; 23.75000;-5.4069e-002;1.00000;2
 99.28467; 24.00000;-5.4206e-002;1.00000;2
101.84424; 24.25000;-5.3303e-002;1.00000;2
104.40953; 24.50000;-5.1705e-002;1.00000;2
106.97935; 24.75000;-4.8749e-002;1.00000;2
109.55263; 25.00000;-5.2811e-002;1.00000;2
112.12624; 25.25000;-5.9556e-002;1.00000;2
114.70139; 25.50000;-5.1845e-002;1.00000;2
117.27746; 25.75000;-4.9204e-002;1.00000;2
119.85325; 26.00000;-5.1632e-002;1.00000;2
122.43536; 26.25000;-5.8770e-002;1.00000;2
125.01972; 26.50000;-6.5079e-002;1.00000;2
127.60544; 26.75000;-5.7885e-002;1.00000;2
130.20082; 27.00000;-4.9705e-002;1.00000;2
132.80888; 27.25000;-5.4515e-002;1.00000;2
135.41558; 27.50000;-6.3718e-002;1.00000;2
