#EXPORTTYPE:DATA SINGLE
#FTYPE:ANSI
#IDENTITY:005922
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#PROJECT:
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:13
#REMARK:
#SAMPLE:2
#SAMPLE MASS /mg:7.28
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /�V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35�C/00:00/35�C/10,0(K/min)/920�C/
#SEGMENT:S1-2/2
#SEG. 1:35�C/00:15/35�C
#SEG. 2:35�C/10,0(K/min)/920�C

##Temp./�C;Time/min;DSC/(uV/mg);Sensit./(uV/mW);Segment
33.98564;0.25;2.960086476544993e-23;1.0;1
34.00776;0.5;2.972336073261931e-23;1.0;1
34.03218;0.75;2.985917678821878e-23;1.0;1
34.05276;1.0;2.9974113171654544e-23;1.0;1
34.06923;1.25;3.0066411367917676e-23;1.0;1
34.08182;1.5;3.013715575602519e-23;1.0;1
34.09324;1.75;3.020146838991243e-23;1.0;1
34.10847;2.0;3.028744891005926e-23;1.0;1
34.12312;2.25;3.0370383811375384e-23;1.0;1
34.13618;2.5;3.044450720005965e-23;1.0;1
34.14771;2.75;3.051009582203242e-23;1.0;1
34.15324;3.0;3.054160297099106e-23;1.0;1
34.15806;3.25;3.056909118243589e-23;1.0;1
34.161;3.5;3.058586988088295e-23;1.0;1
34.16376;3.75;3.060162961290413e-23;1.0;1
34.16953;4.0;3.063460257650115e-23;1.0;1
34.177;4.25;3.0677342550646204e-23;1.0;1
34.18312;4.5;3.0712402442854636e-23;1.0;1
34.18659;4.75;3.073229879958644e-23;1.0;1
34.18865;5.0;3.07441165081089e-23;1.0;1
34.19218;5.25;3.076437770727842e-23;1.0;1
34.19294;5.5;3.076874162169097e-23;1.0;1
34.19318;5.75;3.077011982729988e-23;1.0;1
34.19524;6.0;3.0781951940474707e-23;1.0;1
34.19906;6.25;3.0803904971097024e-23;1.0;1
34.20065;6.5;3.081304705893801e-23;1.0;1
34.19976;6.75;3.080792945857596e-23;1.0;1
34.20253;7.0;3.082386003888649e-23;1.0;1
34.20388;7.25;3.0831626997021946e-23;1.0;1
34.206;7.5;3.0843827910284345e-23;1.0;1
34.20453;7.75;3.0835367334845515e-23;1.0;1
34.20118;8.0;3.081609501869413e-23;1.0;1
34.202;8.25;3.082081131843956e-23;1.0;1
34.20176;8.5;3.081943086402957e-23;1.0;1
34.20118;8.75;3.081609501869413e-23;1.0;1
34.20347;9.0;3.082926793813487e-23;1.0;1
34.20265;9.25;3.082455035668331e-23;1.0;1
34.20318;9.5;3.082759944345592e-23;1.0;1
34.20324;9.75;3.082794464191395e-23;1.0;1
34.205;10.0;3.0838072166782116e-23;1.0;1
34.20876;10.25;3.085971928392306e-23;1.0;1
34.20871;10.5;3.08594313246081e-23;1.0;1
34.20641;10.75;3.08461880726635e-23;1.0;1
34.20712;11.0;3.085027560621876e-23;1.0;1
34.20765;11.25;3.085332721336542e-23;1.0;1
34.20771;11.5;3.085367269716419e-23;1.0;1
34.20853;11.75;3.085839469311043e-23;1.0;1
34.20588;12.0;3.0843137164887524e-23;1.0;1
34.20988;12.25;3.086617027012036e-23;1.0;1
34.20829;12.5;3.085701257143138e-23;1.0;1
34.20865;12.75;3.0859085776943284e-23;1.0;1
34.20776;13.0;3.0853960603256323e-23;1.0;1
34.20865;13.25;3.0859085776943284e-23;1.0;1
34.21177;13.5;3.0877059338168015e-23;1.0;1
34.21424;13.75;3.089129576055326e-23;1.0;1
34.21224;14.0;3.087976779232789e-23;1.0;1
34.21053;14.25;3.08699147585319e-23;1.0;1
34.20835;14.5;3.0857358096102506e-23;1.0;1
34.209;14.75;3.0861101525681353e-23;1.0;1
34.22108;15.0;3.093075363821402e-23;1.0;2
34.21049;15.25;3.0869684315485065e-23;1.0;2
