#EXPORTTYPE:DATA SINGLE
#FTYPE:ANSI
#IDENTITY:005924
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#SAMPLE:3
#SAMPLE MASS /mg:11.02
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /�V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35�C/00:00/35�C/20,0(K/min)/920�C/
#SEGMENT:S2/2
#SEG. 1:35�C/00:15/35�C
#SEG. 2:35�C/20,0(K/min)/920�C

##Temp./�C;Time/min;DSC/(uV/mg);Sensit./(uV/mW)
 34.11900;15.00250; 9.6925e-004;1.00000
 34.12771;15.25250; 1.3154e-003;1.00000
 34.24319;15.50250; 1.5923e-003;1.00000
 34.64471;15.75250;-1.5231e-003;1.00000
 35.48290;16.00250;-5.6078e-003;1.00000
 36.80038;16.25250;-1.4262e-002;1.00000
 38.58895;16.50250;-2.3608e-002;1.00000
 40.80919;16.75250;-3.3716e-002;1.00000
 43.38457;17.00250;-4.3409e-002;1.00000
 46.28457;17.25250;-5.3793e-002;1.00000
 49.45557;17.50250;-6.4732e-002;1.00000
 52.86838;17.75250;-7.0755e-002;1.00000
 56.49052;18.00250;-8.3633e-002;1.00000
 60.29871;18.25250;-8.8133e-002;1.00000
 64.26776;18.50250;-8.6679e-002;1.00000
 68.38686;18.75250;-8.9725e-002;1.00000
 72.62505;19.00250;-8.9240e-002;1.00000
 76.97686;19.25250;-8.6887e-002;1.00000
 81.44562;19.50250;    -0.10426;1.00000
 86.04281;19.75250;    -0.10378;1.00000
 90.75519;20.00250;    -0.11749;1.00000
 95.54043;20.25250;    -0.10669;1.00000
100.40852;20.50250;-9.7894e-002;1.00000
105.33757;20.75250;    -0.10274;1.00000
110.30386;21.00250;    -0.10253;1.00000
115.31476;21.25250;    -0.10170;1.00000
120.36462;21.50250;-9.5125e-002;1.00000
125.46562;21.75250;    -0.11216;1.00000
130.61576;22.00250;    -0.11873;1.00000
135.81519;22.25250;    -0.12019;1.00000
141.05867;22.50250;    -0.12254;1.00000
146.34181;22.75250;    -0.11146;1.00000
151.65652;23.00250;-9.3741e-002;1.00000
156.98776;23.25250;-9.0833e-002;1.00000
162.32952;23.50250;-9.6856e-002;1.00000
167.68110;23.75250;-9.4433e-002;1.00000
173.02424;24.00250;-8.4810e-002;1.00000
178.41810;24.25250;-7.2209e-002;1.00000
