#EXPORTTYPE:DATA SINGLE
#FTYPE:ANSI
#IDENTITY:005924
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#PROJECT:
#DATE/TIME:22.07.2025 13:59
#CORR. FILE:005923_bline_Al2O3_900_20_N2_20_air_20.ngb-bs1
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:13
#REMARK:
#SAMPLE:3
#SAMPLE MASS /mg:11.02
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /�V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35�C/00:00/35�C/20,0(K/min)/920�C/
#SEGMENT:S2/2
#SEG. 1:35�C/00:15/35�C
#SEG. 2:35�C/20,0(K/min)/920�C

##Temp./�C;Time/min;DSC/(uV/mg);Sensit./(uV/mW)
34.12771;15.2525;4.132612493504154e-208;1.0
34.24319;15.5025;4.827700004046101e-208;1.0
34.64471;15.7525;8.287127144149834e-208;1.0
35.4829;16.0025;2.5576766984216254e-207;1.0
36.80038;16.2525;1.4996349681661882e-206;1.0
38.58895;16.5025;1.6462503888565418e-205;1.0
40.80919;16.7525;3.194916625411659e-204;1.0
43.38457;17.0025;9.84789587826424e-203;1.0
46.28457;17.2525;4.606218789630151e-201;1.0
49.45557;17.5025;3.030120115777472e-199;1.0
52.86838;17.7525;2.685010430414393e-197;1.0
56.49052;18.0025;3.057514069704639e-195;1.0
60.29871;18.2525;4.322561354064461e-193;1.0
64.26776;18.5025;7.314894485906766e-191;1.0
68.38686;18.7525;1.4560402962777313e-188;1.0
72.62505;19.0025;3.2657924960826074e-186;1.0
76.97686;19.2525;8.173330488206366e-184;1.0
81.44562;19.5025;2.285585714856358e-181;1.0
86.04281;19.7525;7.222879938770955e-179;1.0
90.75519;20.0025;2.5290257568382203e-176;1.0
95.54043;20.2525;9.284917220607686e-174;1.0
100.40852;20.5025;3.610905615037749e-171;1.0
105.33757;20.7525;1.4452952731009016e-168;1.0
110.30386;21.0025;5.77667421536199e-166;1.0
115.31476;21.2525;2.3234722153127712e-163;1.0
120.36462;21.5025;9.329975878425093e-161;1.0
125.46562;21.7525;3.789861417207359e-158;1.0
130.61576;22.0025;1.5513502642363718e-155;1.0
135.81519;22.2525;6.39129110905254e-153;1.0
141.05867;22.5025;2.630411023521696e-150;1.0
146.34181;22.7525;1.0746889095477061e-147;1.0
151.65652;23.0025;4.314215239348236e-145;1.0
156.98776;23.2525;1.6718473296372544e-142;1.0
162.32952;23.5025;6.209703847652109e-140;1.0
167.6811;23.7525;2.2082760043973824e-137;1.0
173.02424;24.0025;7.369376258921982e-135;1.0
178.4181;24.2525;2.459583076880046e-132;1.0
183.81319;24.5025;7.777619568501333e-130;1.0
189.23495;24.7525;2.393250244366327e-127;1.0
194.66867;25.0025;7.051410537300212e-125;1.0
200.1089;25.2525;1.977468008841859e-122;1.0
205.55143;25.5025;5.2545423525628026e-120;1.0
210.99462;25.7525;1.3206927574482919e-117;1.0
216.43476;26.0025;3.128169513613575e-115;1.0
221.88428;26.2525;7.069408407052268e-113;1.0
227.32633;26.5025;1.4989543628896903e-110;1.0
232.76871;26.7525;3.0053068511973558e-108;1.0
238.20767;27.0025;5.676999919976098e-106;1.0
243.64548;27.2525;1.0126500609561304e-103;1.0
249.08143;27.5025;1.704655595574472e-101;1.0
254.51338;27.7525;2.7027986579012653e-99;1.0
259.93805;28.0025;4.024740008118485e-97;1.0
265.35876;28.2525;5.646956345195227e-95;1.0
270.77695;28.5025;7.475794434066725e-93;1.0
276.19;28.7525;9.317339841113935e-91;1.0
281.58924;29.0025;1.0851469833679382e-88;1.0
286.9809;29.2525;1.1878849895334363e-86;1.0
292.37414;29.5025;1.2321230279866868e-84;1.0
297.75386;29.7525;1.1955374764515106e-82;1.0
303.12176;30.0025;1.0871723808981224e-80;1.0
308.48662;30.2525;9.336032077848507e-79;1.0
313.8459;30.5025;7.556081290546304e-77;1.0
319.19881;30.7525;5.761018635759863e-75;1.0
324.539;31.0025;4.117787876936102e-73;1.0
329.88081;31.2525;2.791535334381533e-71;1.0
335.20953;31.5025;1.7744752060052395e-69;1.0
340.52881;31.7525;1.0610313324600325e-67;1.0
345.83971;32.0025;5.974332015571244e-66;1.0
351.14257;32.2525;3.169373386866175e-64;1.0
356.43828;32.5025;1.5855120876548056e-62;1.0
361.72828;32.7525;7.489005849833546e-61;1.0
367.0099;33.0025;3.3341448815862112e-59;1.0
372.27857;33.2525;1.3949654241410646e-57;1.0
377.54776;33.5025;5.538447068383048e-56;1.0
382.80995;33.7525;2.0759583351797198e-54;1.0
388.06524;34.0025;7.348112184757633e-53;1.0
393.31547;34.2525;2.4596855805875552e-51;1.0
398.54914;34.5025;7.729133883370628e-50;1.0
403.78914;34.7525;2.314964038479875e-48;1.0
409.01467;35.0025;6.520967204039621e-47;1.0
414.23576;35.2525;1.7391588986848284e-45;1.0
419.45133;35.5025;4.389301245105619e-44;1.0
424.66005;35.7525;1.0476174553330285e-42;1.0
429.86352;36.0025;2.3673503969682613e-41;1.0
435.06228;36.2525;5.067333954794402e-40;1.0
440.25595;36.5025;1.0273525329268492e-38;1.0
445.44429;36.7525;1.972827244531721e-37;1.0
450.62595;37.0025;3.5861744822820115e-36;1.0
455.79943;37.2525;6.167047266761818e-35;1.0
460.96643;37.5025;1.0044458146067369e-33;1.0
466.13262;37.7525;1.554374264189694e-32;1.0
471.28986;38.0025;2.2758964848683363e-31;1.0
476.44248;38.2525;3.1606946066133014e-30;1.0
481.58738;38.5025;4.157544858874648e-29;1.0
486.731;38.7525;5.197252647160796e-28;1.0
491.87067;39.0025;6.1667604932333995e-27;1.0
497.00419;39.2525;6.938907845337603e-26;1.0
502.13805;39.5025;7.427486938130576e-25;1.0
507.26186;39.7525;7.528136118849135e-24;1.0
512.39067;40.0025;7.274687168338777e-23;1.0
517.51401;40.2525;6.671360499819744e-22;1.0
522.64319;40.5025;5.834584264810323e-21;1.0
527.76524;40.7525;4.8398013815747784e-20;1.0
532.89642;41.0025;3.833287362806035e-19;1.0
538.03724;41.2525;2.898755041815144e-18;1.0
543.18938;41.5025;2.093638418021273e-17;1.0
548.34905;41.7525;1.4417501000284894e-16;1.0
553.51486;42.0025;9.45939552079491e-16;1.0
558.68424;42.2525;5.906814429081213e-15;1.0
563.85442;42.5025;3.5067563592757985e-14;1.0
569.04914;42.7525;1.994847354014572e-13;1.0
574.26004;43.0025;1.0836493273248636e-12;1.0
579.42153;43.2525;5.505605917434412e-12;1.0
584.76034;43.5025;2.8043897065886252e-11;1.0
590.12663;43.7525;1.36396672958066e-10;1.0
595.45652;44.0025;6.217027529735135e-10;1.0
600.64762;44.2525;2.586238193283853e-9;1.0
605.78352;44.5025;1.0075886297806217e-8;1.0
610.82957;44.7525;3.650585822878243e-8;1.0
615.74186;45.0025;1.2202091981139245e-7;1.0
620.63857;45.2525;3.881701137480513e-7;1.0
625.54514;45.5025;1.1824201105963703e-6;1.0
630.45891;45.7525;3.4460181824570914e-6;1.0
635.38019;46.0025;9.607252031250582e-6;1.0
640.30795;46.2525;2.5611690124689023e-5;1.0
645.26047;46.5025;6.549733001857422e-5;1.0
650.23586;46.7525;0.00016051204742679117;1.0
655.22076;47.0025;0.0003758770132202845;1.0
660.21956;47.2525;0.0008414317875498955;1.0
665.22481;47.5025;0.0017979582966409335;1.0
670.23091;47.7525;0.003663647674311249;1.0
675.24057;48.0025;0.007121331244453392;1.0
680.25676;48.2525;0.013207803657534926;1.0
685.27128;48.5025;0.023348191448782765;1.0
690.27962;48.7525;0.03932378403236496;1.0
695.2828;49.0025;0.06311799601159464;1.0
700.28229;49.2525;0.09657442815363078;1.0
705.28148;49.5025;0.1409068416359993;1.0
710.28419;49.7525;0.19609586811653407;1.0
715.27962;50.0025;0.26012652107614886;1.0
720.27824;50.2525;0.3291267379116681;1.0
725.28181;50.5025;0.3971820721687753;1.0
730.28156;50.7525;0.45699766594781566;1.0
735.27953;51.0025;0.5014131574006028;1.0
740.27238;51.2525;0.5246269971826477;1.0
745.26028;51.5025;0.5235300645829114;1.0
750.24348;51.7525;0.49834286664570215;1.0
755.23029;52.0025;0.4524613768080419;1.0
760.23334;52.2525;0.3916269174290255;1.0
765.25033;52.5025;0.32303027991914285;1.0
770.27814;52.7525;0.2538585885161342;1.0
775.30643;53.0025;0.19013555988484482;1.0
780.33538;53.2525;0.1357207040851094;1.0
785.35281;53.5025;0.09241922208767174;1.0
790.36548;53.7525;0.060018935973900275;1.0
795.36281;54.0025;0.03721726001276024;1.0
800.35543;54.2525;0.02201979562479396;1.0
805.33709;54.5025;0.012441624944458152;1.0
810.31076;54.7525;0.0067128190735101685;1.0
815.27305;55.0025;0.0034609767884251318;1.0
820.23314;55.2525;0.0017033722840873685;1.0
825.19038;55.5025;0.0008004034811651916;1.0
830.14738;55.7525;0.00035895758772060886;1.0
835.10377;56.0025;0.00015365379653213643;1.0
840.06557;56.2525;6.270936424793077e-5;1.0
845.0319;56.5025;2.4401606364232953e-5;1.0
849.994;56.7525;9.068230434381334e-6;1.0
854.95685;57.0025;3.215397935393355e-6;1.0
859.91838;57.2525;1.0882941043183336e-6;1.0
864.87709;57.5025;3.5174251116771517e-7;1.0
869.83695;57.7525;1.0846459938330906e-7;1.0
874.79177;58.0025;3.195930174651885e-8;1.0
879.74871;58.2525;8.982633881043627e-9;1.0
884.70267;58.5025;2.4114576747304553e-9;1.0
889.65705;58.7525;6.178013425184207e-10;1.0
894.61386;59.0025;1.5095721778701903e-10;1.0
