#EXPORTTYPE:DATA SINGLE
#FTYPE:ANSI
#IDENTITY:005920
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#SENSITIVITY:SENSZERO.EXX
#SAMPLE:1
#SAMPLE MASS /mg:9.99
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35C/00:00/35C/5,0(K/min)/920C/
#SEGMENT:S1-2/2
#SEG. 1:35C/00:15/35C
#SEG. 2:35C/5,0(K/min)/920C

##Temp./C;Time/min;DSC/(uV/mg);Sensit./(uV/mW);Segment
 34.17900;  0.00000;-1.4510e-003;1.00000;1
 34.17636;  0.25000;-1.2219e-003;1.00000;1
 34.17971;  0.50000;-1.5274e-003;1.00000;1
 34.17888;  0.75000;-1.1456e-003;1.00000;1
 34.17688;  1.00000;-1.3747e-003;1.00000;1
 34.17253;  1.25000;-1.2983e-003;1.00000;1
 34.17059;  1.50000;-1.2983e-003;1.00000;1
 34.16876;  1.75000;-9.1644e-004;1.00000;1
 34.16682;  2.00000;-6.8733e-004;1.00000;1
 34.16441;  2.25000;-2.1384e-003;1.00000;1
 34.16576;  2.50000;-1.6801e-003;1.00000;1
 34.17024;  2.75000;-1.6038e-003;1.00000;1
 34.16623;  3.00000;-1.4510e-003;1.00000;1
 34.16288;  3.25000;-1.6801e-003;1.00000;1
 34.16018;  3.50000;-9.1644e-004;1.00000;1
 34.15800;  3.75000;-1.1456e-003;1.00000;1
 34.16165;  4.00000;-1.6038e-003;1.00000;1
 34.16312;  4.25000;-1.0692e-003;1.00000;1
 34.16582;  4.50000;-1.2983e-003;1.00000;1
 34.16759;  4.75000;-1.8329e-003;1.00000;1
 34.16271;  5.00000;-2.0620e-003;1.00000;1
 34.15965;  5.25000;-1.7565e-003;1.00000;1
 34.15641;  5.50000;-2.4439e-003;1.00000;1
 34.15535;  5.75000;-1.9856e-003;1.00000;1
