#EXPORTTYPE:DATA SINGLE
#FILE:00592013__Al2O3_900_5_N2_20_air_20.ngb-ds1
#FTYPE:ANSI
#IDENTITY:005920
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#PROJECT:
#DATE/TIME:21.07.2025 08:33
#CORR. FILE:005919_bline_Al2O3_900_5_N2_20_air_20.ngb-bs1
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY: 11
#OPERATOR:
#REMARK:
#SAMPLE:1
#SAMPLE MASS /mg:9.99
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35C/00:00/35C/5,0(K/min)/920C/
#SEGMENT:S1-2/2
#SEG. 1:35C/00:15/35C
#SEG. 2:35C/5,0(K/min)/920C

##Temp./C;Time/min;DSC/(uV/mg);Sensit./(uV/mW);Segment
34.17636;0.25;3.5363646335173704e-102;1.0;1
34.17971;0.5;3.547186841269708e-102;1.0;1
34.17888;0.75;3.544502442406136e-102;1.0;1
34.17688;1.0;3.538042335887055e-102;1.0;1
34.17253;1.25;3.5240321419777713e-102;1.0;1
34.17059;1.5;3.5178017807679448e-102;1.0;1
34.16876;1.75;3.5119347621491235e-102;1.0;1
34.16682;2.0;3.505725743031324e-102;1.0;1
34.16441;2.25;3.4980277309579074e-102;1.0;1
34.16576;2.5;3.50233781512127e-102;1.0;1
34.17024;2.75;3.516678917476324e-102;1.0;1
34.16623;3.0;3.5038396062327856e-102;1.0;1
34.16288;3.25;3.493149366950249e-102;1.0;1
34.16018;3.5;3.484557044467925e-102;1.0;1
34.158;3.75;3.477634930523717e-102;1.0;1
34.16165;4.0;3.489232467987628e-102;1.0;1
34.16312;4.25;3.4939141513437964e-102;1.0;1
34.16582;4.5;3.502529497365174e-102;1.0;1
34.16759;4.75;3.508188835415985e-102;1.0;1
34.16271;5.0;3.4926077457424224e-102;1.0;1
34.15965;5.25;3.4828728812792653e-102;1.0;1
34.15641;5.5;3.4725948878907032e-102;1.0;1
34.15535;5.75;3.4692389094483724e-102;1.0;1
34.15588;6.0;3.4709164939313676e-102;1.0;1
34.15641;6.25;3.4725948878907032e-102;1.0;1
34.15753;6.5;3.476144347142858e-102;1.0;1
34.15565;6.75;3.4701883861743126e-102;1.0;1
34.15471;7.0;3.46721422541595e-102;1.0;1
34.15547;7.25;3.4696186690272385e-102;1.0;1
34.15894;7.5;3.4806180109564043e-102;1.0;1
34.15988;7.75;3.4836036447666128e-102;1.0;1
34.157;8.0;3.4744642413104832e-102;1.0;1
34.15382;8.25;3.4644006089727644e-102;1.0;1
34.15247;8.5;3.460137112222477e-102;1.0;1
34.15324;8.75;3.4625682425319454e-102;1.0;1
34.15406;9.0;3.4651591125712916e-102;1.0;1
34.15082;9.25;3.4549332813154434e-102;1.0;1
34.15171;9.5;3.457739225291773e-102;1.0;1
34.15165;9.75;3.4575499890663392e-102;1.0;1
34.15165;10.0;3.4575499890663392e-102;1.0;1
34.15094;10.25;3.455311478274761e-102;1.0;1
34.14553;10.5;3.438302081332876e-102;1.0;1
34.14282;10.75;3.4298130980491796e-102;1.0;1
34.14235;11.0;3.428342968517867e-102;1.0;1
34.13906;11.25;3.4180696531230662e-102;1.0;1
34.13618;11.5;3.409101817430768e-102;1.0;1
34.13253;11.75;3.3977700565924292e-102;1.0;1
34.12859;12.0;3.385580144608052e-102;1.0;1
34.12518;12.25;3.3750652269636057e-102;1.0;1
34.12371;12.5;3.3705424610725084e-102;1.0;1
34.123;12.75;3.3683601623582844e-102;1.0;1
34.12447;13.0;3.372880006195104e-102;1.0;1
34.12429;13.25;3.3723262309337074e-102;1.0;1
34.12471;13.5;3.373618514367231e-102;1.0;1
34.12024;13.75;3.35989024541328e-102;1.0;1
34.115;14.0;3.343868111631177e-102;1.0;1
34.10647;14.25;3.3179491896447156e-102;1.0;1
34.10235;14.5;3.305502215270006e-102;1.0;1
34.10264;14.75;3.3063768107997575e-102;1.0;1
34.11549;15.0;3.345363127618514e-102;1.0;2
34.10516;15.25;3.313986472315265e-102;1.0;2
34.13672;15.5;3.410781496384289e-102;1.0;2
34.23371;15.75;3.726264987604371e-102;1.0;2
34.42622;16.0;4.441294493649199e-102;1.0;2
34.72104;16.25;5.81039465820279e-102;1.0;2
35.12375;16.5;8.38490776968895e-102;1.0;2
35.61708;16.75;1.3136056146849314e-101;1.0;2
36.1925;17.0;2.2163401892894688e-101;1.0;2
36.83655;17.25;3.977396456956944e-101;1.0;2
37.54164;17.5;7.538119629588437e-101;1.0;2
38.29774;17.75;1.4948164406505408e-100;1.0;2
39.09878;18.0;3.083916226057414e-100;1.0;2
39.94421;18.25;6.614670914976787e-100;1.0;2
40.82469;18.5;1.4623995370562219e-99;1.0;2
41.7454;18.75;3.3475420913935076e-99;1.0;2
42.69183;19.0;7.829790320151357e-99;1.0;2
43.66753;19.25;1.876990442971376e-98;1.0;2
44.66731;19.5;4.589673568421582e-98;1.0;2
