#EXPORTTYPE:DATA SINGLE
#FTYPE:ANSI
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#PROJECT:
#CORR. FILE:005925_bline_Al2O3_900_7.5_N2_20_air_20.ngb-bs1
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:13
#OPERATOR:
#REMARK:
#SAMPLE:4
#SAMPLE MASS /mg:7.42
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35C/7,5(K/min)/920�C
#SEGMENT:S1/1
#SEG. 1:35�C/7,5(K/min)/920�C

##Temp./�C;Time/min;DSC/(uV/mg);Sensit./(uV/mW)
34.14896;0.5;4.862258914811669e-122;1.0
34.59436;1.0;7.312031510769035e-122;1.0
35.68375;1.5;1.9810735454436568e-121;1.0
37.32905;2.0;8.895759877180847e-121;1.0
39.42311;2.5;5.9816806277998027e-120;1.0
41.82416;3.0;5.275642801156358e-119;1.0
44.48642;3.5;5.836956249351149e-118;1.0
47.36371;4.0;7.748454183956698e-117;1.0
50.40853;4.5;1.1796427298971202e-115;1.0
53.59856;5.0;2.01462703200299e-114;1.0
56.91062;5.5;3.7736356430997375e-113;1.0
60.33416;6.0;7.667201913078309e-112;1.0
63.83709;6.5;1.6403211064665216e-110;1.0
67.40722;7.0;3.6517804673882767e-109;1.0
71.01816;7.5;8.260888111082174e-108;1.0
74.673;8.0;1.9026321056543487e-106;1.0
78.36113;8.5;4.418331290639634e-105;1.0
82.0722;9.0;1.0249465858197318e-103;1.0
85.82376;9.5;2.4094077312628666e-102;1.0
89.60155;10.0;5.6679860995208016e-101;1.0
93.40258;10.5;1.3304186571786497e-99;1.0
97.22127;11.0;3.1004511190247526e-98;1.0
101.0636;11.5;7.206517400888023e-97;1.0
104.91793;12.0;1.6543105089585897e-95;1.0
108.78251;12.5;3.744534701754062e-94;1.0
112.64249;13.0;8.257350621957225e-93;1.0
116.50784;13.5;1.7881861017033483e-91;1.0
120.36778;14.0;3.770415633052411e-90;1.0
124.22933;14.5;7.783815179777133e-89;1.0
128.09969;15.0;1.5821027302339228e-87;1.0
131.96873;15.5;3.140970118962794e-86;1.0
135.85067;16.0;6.157521627970966e-85;1.0
139.73913;16.5;1.1859418670336832e-83;1.0
143.63669;17.0;2.2481697335734208e-82;1.0
147.54049;17.5;4.185110489549287e-81;1.0
151.44664;18.0;7.627789580549036e-80;1.0
155.35118;18.5;1.3571364834534948e-78;1.0
159.25395;19.0;2.3569104105138157e-77;1.0
163.1588;19.5;4.0066289444677606e-76;1.0
167.05856;20.0;6.632600941743018e-75;1.0
170.9538;20.5;1.0697249839498321e-73;1.0
174.8622;21.0;1.7021273293756803e-72;1.0
178.75347;21.5;2.615444030297678e-71;1.0
182.6578;22.0;3.9641819611865715e-70;1.0
186.56078;22.5;5.866977938310778e-69;1.0
190.46731;23.0;8.50724328638544e-68;1.0
194.36991;23.5;1.2024152958403487e-66;1.0
198.27002;24.0;1.658289395961259e-65;1.0
202.16893;24.5;2.2335586792704005e-64;1.0
206.06338;25.0;2.931858019877956e-63;1.0
209.95464;25.5;3.7539701731536598e-62;1.0
213.84576;26.0;4.6980933859590794e-61;1.0
217.73087;26.5;5.725366315099577e-60;1.0
221.61424;27.0;6.813317837449326e-59;1.0
225.49647;27.5;7.920723986236007e-58;1.0
229.38404;28.0;9.032008190443224e-57;1.0
233.26766;28.5;1.0043515859444671e-55;1.0
237.15058;29.0;1.0913456565273426e-54;1.0
241.03071;29.5;1.1573629394331098e-53;1.0
244.90976;30.0;1.1991517756910005e-52;1.0
248.78506;30.5;1.2119800962337194e-51;1.0
252.66656;31.0;1.2019978199656258e-50;1.0
256.53507;31.5;1.1566401703422614e-49;1.0
260.40607;32.0;1.0898174433194059e-48;1.0
264.2732;32.5;1.0017857058980439e-47;1.0
268.14446;33.0;9.025131954863001e-47;1.0
272.01558;33.5;7.949170724609811e-46;1.0
275.88229;34.0;6.828960870945135e-45;1.0
279.74731;34.5;5.73102208310027e-44;1.0
283.61204;35.0;4.702148455246741e-43;1.0
287.47454;35.5;3.7678888099398685e-42;1.0
291.33366;36.0;2.947062969357855e-41;1.0
295.18742;36.5;2.247734569899274e-40;1.0
299.03844;37.0;1.6741537239314004e-39;1.0
302.89008;37.5;1.2198577553969586e-38;1.0
306.74185;38.0;8.69308739785838e-38;1.0
310.59553;38.5;6.064239382243016e-37;1.0
314.44818;39.0;4.1349394613389e-36;1.0
318.30158;39.5;2.7582824824691013e-35;1.0
322.14887;40.0;1.794064561689404e-34;1.0
325.99403;40.5;1.1400907342197993e-33;1.0
329.83591;41.0;7.074943087810705e-33;1.0
333.67614;41.5;4.290852275663363e-32;1.0
337.51342;42.0;2.541871169166501e-31;1.0
341.34351;42.5;1.468037780811713e-30;1.0
345.16604;43.0;8.265637632138581e-30;1.0
348.9924;43.5;4.5605925281516357e-29;1.0
352.81507;44.0;2.4576140188845497e-28;1.0
356.63256;44.5;1.2927115466436695e-27;1.0
360.4502;45.0;6.652893537892098e-27;1.0
364.26445;45.5;3.344974787251914e-26;1.0
368.07553;46.0;1.6432868943631078e-25;1.0
371.88493;46.5;7.893335712089412e-25;1.0
375.69218;47.0;3.706504943299902e-24;1.0
379.50536;47.5;1.7070131349370574e-23;1.0
383.31778;48.0;7.689435534584086e-23;1.0
387.12696;48.5;3.384753819406704e-22;1.0
