#EXPORTTYPE:DATA SINGLE
#FTYPE:ANSI
#IDENTITY:005922
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#PROJECT:
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:13
#REMARK:
#SAMPLE:2
#SAMPLE MASS /mg:7.28
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /�V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35�C/00:00/35�C/10,0(K/min)/920�C/
#SEGMENT:S1-2/2
#SEG. 1:35�C/00:15/35�C
#SEG. 2:35�C/10,0(K/min)/920�C

##Temp./�C;Time/min;DSC/(uV/mg);Sensit./(uV/mW);Segment
33.98564;0.25;7.081352722819443e-86;1.0;1
34.00776;0.5;7.19709177943802e-86;1.0;1
34.03218;0.75;7.327057652574642e-86;1.0;1
34.05276;1.0;7.438402577226831e-86;1.0;1
34.06923;1.25;7.528725518795347e-86;1.0;1
34.08182;1.5;7.598507230880342e-86;1.0;1
34.09324;1.75;7.662361888284445e-86;1.0;1
34.10847;2.0;7.748353706574164e-86;1.0;1
34.12312;2.25;7.831978871431417e-86;1.0;1
34.13618;2.5;7.907286659546612e-86;1.0;1
34.14771;2.75;7.974372084454667e-86;1.0;1
34.15324;3.0;8.006748624698587e-86;1.0;1
34.15806;3.25;8.035075247575388e-86;1.0;1
34.161;3.5;8.052402369834644e-86;1.0;1
34.16376;3.75;8.068702562881411e-86;1.0;1
34.16953;4.0;8.102885816168335e-86;1.0;1
34.177;4.25;8.147355034556553e-86;1.0;1
34.18312;4.5;8.183968998758895e-86;1.0;1
34.18659;4.75;8.204801738675265e-86;1.0;1
34.18865;5.0;8.217194315183463e-86;1.0;1
34.19218;5.25;8.238473561220937e-86;1.0;1
34.19294;5.5;8.243062114455368e-86;1.0;1
34.19318;5.75;8.244511660800735e-86;1.0;1
34.19524;6.0;8.256964061936521e-86;1.0;1
34.19906;6.25;8.280105077553376e-86;1.0;1
34.20065;6.5;8.289756127084912e-86;1.0;1
34.19976;6.75;8.284352585611674e-86;1.0;1
34.20253;7.0;8.301181908534023e-86;1.0;1
34.20388;7.25;8.3093962804667e-86;1.0;1
34.206;7.5;8.322312252955139e-86;1.0;1
34.20453;7.75;8.313354239583738e-86;1.0;1
34.20118;8.0;8.292975636344402e-86;1.0;1
34.202;8.25;8.297959221553222e-86;1.0;1
34.20176;8.5;8.296500302123919e-86;1.0;1
34.20118;8.75;8.292975636344402e-86;1.0;1
34.20347;9.0;8.306900688393599e-86;1.0;1
34.20265;9.25;8.301911746820818e-86;1.0;1
34.20318;9.5;8.305135964930985e-86;1.0;1
34.20324;9.75;8.3055010494474e-86;1.0;1
34.205;10.0;8.316217319880172e-86;1.0;1
34.20876;10.25;8.339157397134836e-86;1.0;1
34.20871;10.5;8.338851929213967e-86;1.0;1
34.20641;10.75;8.32481246321059e-86;1.0;1
34.20712;11.0;8.329143867792676e-86;1.0;1
34.20765;11.25;8.332378635032135e-86;1.0;1
34.20771;11.5;8.332744914046808e-86;1.0;1
34.20853;11.75;8.337752337108152e-86;1.0;1
34.20588;12.0;8.321580625796662e-86;1.0;1
34.20988;12.25;8.346002804485961e-86;1.0;1
34.20829;12.5;8.336286439271412e-86;1.0;1
34.20865;12.75;8.338485382441383e-86;1.0;1
34.20776;13.0;8.333050158826469e-86;1.0;1
34.20865;13.25;8.338485382441383e-86;1.0;1
34.21177;13.5;8.357567141274758e-86;1.0;1
34.21424;13.75;8.372704418068017e-86;1.0;1
34.21224;14.0;8.360445409340591e-86;1.0;1
34.21053;14.25;8.349978155562426e-86;1.0;1
34.20835;14.5;8.336652889628552e-86;1.0;1
34.209;14.75;8.340623798527992e-86;1.0;1
34.22108;15.0;8.414765902948758e-86;1.0;2
34.21049;15.25;8.349733464045364e-86;1.0;2
34.25831;15.5;8.647428878616763e-86;1.0;2
34.4492;15.75;9.94504875409551e-86;1.0;2
34.84544;16.0;1.3291596649032137e-85;1.0;2
35.4671;16.25;2.0942255393332297e-85;1.0;2
36.30742;16.5;3.86859663829486e-85;1.0;2
37.34251;16.75;8.227784421118334e-85;1.0;2
38.55148;17.0;1.982711944394157e-84;1.0;2
39.90639;17.25;5.3004621417896255e-84;1.0;2
41.38813;17.5;1.5491515981884082e-83;1.0;2
42.97527;17.75;4.870329248131472e-83;1.0;2
44.65488;18.0;1.6307032070781625e-82;1.0;2
46.42406;18.25;5.799159664383154e-82;1.0;2
48.26587;18.5;2.162707982059925e-81;1.0;2
50.19397;18.75;8.535938534520202e-81;1.0;2
52.17875;19.0;3.489184702274253e-80;1.0;2
54.22524;19.25;1.4816848419518695e-79;1.0;2
56.32557;19.5;6.497123627896534e-79;1.0;2
58.4711;19.75;2.9227641156448893e-78;1.0;2
60.6614;20.0;1.3479404968865768e-77;1.0;2
62.89915;20.25;6.3824010236755106e-77;1.0;2
