#EXPORTTYPE:DATA SINGLE
#FTYPE:ANSI
#IDENTITY:005924
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#PROJECT:
#DATE/TIME:22.07.2025 13:59
#CORR. FILE:005923_bline_Al2O3_900_20_N2_20_air_20.ngb-bs1
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:13
#REMARK:
#SAMPLE:3
#SAMPLE MASS /mg:11.02
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /�V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35�C/00:00/35�C/20,0(K/min)/920�C/
#SEGMENT:S2/2
#SEG. 1:35�C/00:15/35�C
#SEG. 2:35�C/20,0(K/min)/920�C

##Temp./�C;Time/min;DSC/(uV/mg);Sensit./(uV/mW)
34.12771;15.2525;1.8665257989138276e-131;1.0
34.24319;15.5025;2.1270955945940719e-131;1.0
34.64471;15.7525;3.3498031269356447e-131;1.0
35.4829;16.0025;8.635141791981901e-131;1.0
36.80038;16.2525;3.8138666207449405e-130;1.0
38.58895;16.5025;2.8481232904858257e-129;1.0
40.80919;16.7525;3.422792462744398e-128;1.0
43.38457;17.0025;6.042469744553233e-127;1.0
46.28457;17.2525;1.506140756021253e-125;1.0
49.45557;17.5025;4.96739399644001e-124;1.0
52.86838;17.7525;2.088230784478186e-122;1.0
56.49052;18.0025;1.0745671188179215e-120;1.0
60.29871;18.2525;6.569183843207057e-119;1.0
64.26776;18.5025;4.6234657397314666e-117;1.0
68.38686;18.7525;3.6885875221577146e-115;1.0
72.62505;19.0025;3.216322367250179e-113;1.0
76.97686;19.2525;3.0380427023969385e-111;1.0
81.44562;19.5025;3.1094389564601334e-109;1.0
86.04281;19.7525;3.477485057439327e-107;1.0
90.75519;20.0025;4.177258332757193e-105;1.0
95.54043;20.2525;5.148180713410089e-103;1.0
100.40852;20.5025;6.559685187229736e-101;1.0
105.33757;20.7525;8.436119856988934e-99;1.0
110.30386;21.0025;1.0681007263625612e-96;1.0
115.31476;21.2525;1.339205602289028e-94;1.0
120.36462;21.5025;1.6515863563563918e-92;1.0
125.46562;21.7525;2.0238861206144334e-90;1.0
130.61576;22.0025;2.4556884386163907e-88;1.0
