#EXPORTTYPE:DATA SINGLE
#FILE:00592013__Al2O3_900_5_N2_20_air_20.ngb-ds1
#FTYPE:ANSI
#IDENTITY:005920
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#PROJECT:
#DATE/TIME:21.07.2025 08:33
#CORR. FILE:005919_bline_Al2O3_900_5_N2_20_air_20.ngb-bs1
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY: 11
#OPERATOR:
#REMARK:
#SAMPLE:1
#SAMPLE MASS /mg:9.99
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35C/00:00/35C/5,0(K/min)/920C/
#SEGMENT:S1-2/2
#SEG. 1:35C/00:15/35C
#SEG. 2:35C/5,0(K/min)/920C

##Temp./C;Time/min;DSC/(uV/mg);Sensit./(uV/mW);Segment
34.17636;0.25;6.0809090894208476e-68;1.0;1
34.17971;0.5;6.0920666720537945e-68;1.0;1
34.17888;0.75;6.089300355872713e-68;1.0;1
34.17688;1.0;6.082639676254192e-68;1.0;1
34.17253;1.25;6.068177762423782e-68;1.0;1
34.17059;1.5;6.061739137189081e-68;1.0;1
34.16876;1.75;6.055671830216896e-68;1.0;1
34.16682;2.0;6.049246431638954e-68;1.0;1
34.16441;2.25;6.041273828276535e-68;1.0;1
34.16576;2.5;6.045738518284926e-68;1.0;1
34.17024;2.75;6.060578254850597e-68;1.0;1
34.16623;3.0;6.0472936635507015e-68;1.0;1
34.16288;3.25;6.036217819129067e-68;1.0;1
34.16018;3.5;6.0273057369461696e-68;1.0;1
34.158;3.75;6.020119626664727e-68;1.0;1
34.16165;4.0;6.032156242837097e-68;1.0;1
34.16312;4.25;6.037010639597935e-68;1.0;1
34.16582;4.5;6.045937025269389e-68;1.0;1
34.16759;4.75;6.0517959049503405e-68;1.0;1
34.16271;5.0;6.035656300756681e-68;1.0;1
34.15965;5.25;6.0255578688008915e-68;1.0;1
34.15641;5.5;6.014883767573371e-68;1.0;1
34.15535;5.75;6.0113957168058255e-68;1.0;1
34.15588;6.0;6.013139490090563e-68;1.0;1
34.15641;6.25;6.014883767573371e-68;1.0;1
34.15753;6.5;6.018571447092893e-68;1.0;1
34.15565;6.75;6.012382696370921e-68;1.0;1
34.15471;7.0;6.009290700129209e-68;1.0;1
34.15547;7.25;6.011790489250633e-68;1.0;1
34.15894;7.5;6.023217176786957e-68;1.0;1
34.15988;7.75;6.026316315558099e-68;1.0;1
34.157;8.0;6.016826103656744e-68;1.0;1
34.15382;8.25;6.006364632564703e-68;1.0;1
34.15247;8.5;6.001928926155951e-68;1.0;1
34.15324;8.75;6.0044585214420574e-68;1.0;1
34.15406;9.0;6.0071535446149025e-68;1.0;1
34.15082;9.25;5.996511941215243e-68;1.0;1
34.15171;9.5;5.999433224402969e-68;1.0;1
34.15165;9.75;5.999236239378427e-68;1.0;1
34.15165;10.0;5.999236239378427e-68;1.0;1
34.15094;10.25;5.996905739381308e-68;1.0;1
34.14553;10.5;5.979177595446939e-68;1.0;1
34.14282;10.75;5.970316786664005e-68;1.0;1
34.14235;11.0;5.968781373636689e-68;1.0;1
34.13906;11.25;5.958044497501075e-68;1.0;1
34.13618;11.5;5.948661455192507e-68;1.0;1
34.13253;11.75;5.93679091215788e-68;1.0;1
34.12859;12.0;5.924003728589331e-68;1.0;1
34.12518;12.25;5.912958812958198e-68;1.0;1
34.12371;12.5;5.908203848758627e-68;1.0;1
34.123;12.75;5.9059085986027115e-68;1.0;1
34.12447;13.0;5.910661721526545e-68;1.0;1
34.12429;13.25;5.910079501672071e-68;1.0;1
34.12471;13.5;5.911438103599893e-68;1.0;1
34.12024;13.75;5.8969946575264e-68;1.0;1
34.115;14.0;5.880107971566336e-68;1.0;1
34.10647;14.25;5.852721803611779e-68;1.0;1
34.10235;14.5;5.839539823274028e-68;1.0;1
34.10264;14.75;5.840466712114344e-68;1.0;1
34.11549;15.0;5.881685024996749e-68;1.0;2
34.10516;15.25;5.848527232846832e-68;1.0;2
34.13672;15.5;5.950419652969216e-68;1.0;2
34.23371;15.75;6.27476189488169e-68;1.0;2
34.42622;16.0;6.9716492091586935e-68;1.0;2
34.72104;16.25;8.191273169529978e-68;1.0;2
35.12375;16.5;1.020776908196945e-67;1.0;2
35.61708;16.75;1.3363658124222277e-67;1.0;2
36.1925;17.0;1.82918973522719e-67;1.0;2
36.83655;17.25;2.5982912585556167e-67;1.0;2
37.54164;17.5;3.8138525607990025e-67;1.0;2
38.29774;17.75;5.752630690050822e-67;1.0;2
39.09878;18.0;8.886220058327055e-67;1.0;2
39.94421;18.25;1.4052090237675045e-66;1.0;2
40.82469;18.5;2.2630661433726897e-66;1.0;2
41.7454;18.75;3.721875016756731e-66;1.0;2
42.69183;19.0;6.201424381930413e-66;1.0;2
43.66753;19.25;1.0487818337265064e-65;1.0;2
44.66731;19.5;1.7951319682460216e-65;1.0;2
45.6928;19.75;3.112248976511139e-65;1.0;2
46.74168;20.0;5.45816557850016e-65;1.0;2
47.8057;20.25;9.639825385038909e-65;1.0;2
48.88834;20.5;1.7176196685696084e-64;1.0;2
49.98967;20.75;3.0875288328271296e-64;1.0;2
51.10446;21.0;5.5832815848104746e-64;1.0;2
52.23305;21.25;1.0158319719717911e-63;1.0;2
53.37523;21.5;1.859260510225679e-63;1.0;2
54.5253;21.75;3.4128652119322337e-63;1.0;2
55.68474;22.0;6.287608722268395e-63;1.0;2
56.85935;22.25;1.1661351847372581e-62;1.0;2
58.04364;22.5;2.170886607383118e-62;1.0;2
59.23476;22.75;4.050311717851477e-62;1.0;2
60.43665;23.0;7.589017358629573e-62;1.0;2
61.64896;23.25;1.4276869773418167e-61;1.0;2
62.86358;23.5;2.685252577814135e-61;1.0;2
64.0847;23.75;5.0603627875254244e-61;1.0;2
65.30787;24.0;9.532637989904795e-61;1.0;2
66.53528;24.25;1.7970785669475477e-60;1.0;2
67.76738;24.5;3.3910765966927895e-60;1.0;2
69.00398;24.75;6.404349960935846e-60;1.0;2
70.24448;25.0;1.2101491928845098e-59;1.0;2
71.48621;25.25;2.2847061151411616e-59;1.0;2
72.72937;25.5;4.310143363192138e-59;1.0;2
73.97395;25.75;8.124910467035418e-59;1.0;2
75.22398;26.0;1.5335469700359597e-58;1.0;2
76.46965;26.25;2.8837746060111403e-58;1.0;2
77.71669;26.5;5.4184518851759745e-58;1.0;2
78.96561;26.75;1.0175324735182061e-57;1.0;2
80.21691;27.0;1.9102345675292414e-57;1.0;2
81.47146;27.25;3.586544612530983e-57;1.0;2
82.72618;27.5;6.724229284872811e-57;1.0;2
83.9838;27.75;1.2605991769590148e-56;1.0;2
85.24469;28.0;2.363497624759729e-56;1.0;2
86.50762;28.25;4.429007998989267e-56;1.0;2
87.77336;28.5;8.298380463756718e-56;1.0;2
89.03755;28.75;1.5512275069675845e-55;1.0;2
90.30329;29.0;2.897471266353777e-55;1.0;2
91.5698;29.25;5.405740629569064e-55;1.0;2
92.84121;29.5;1.0093977916798592e-54;1.0;2
94.11325;29.75;1.8824580831898085e-54;1.0;2
95.38379;30.0;3.502608314926013e-54;1.0;2
96.65528;30.25;6.510008728339287e-54;1.0;2
97.92917;30.5;1.2094825468356335e-53;1.0;2
99.20502;30.75;2.2456872136732025e-53;1.0;2
100.48187;31.0;4.1651050445689155e-53;1.0;2
101.76103;31.25;7.721510479449923e-53;1.0;2
103.0401;31.5;1.429135563043685e-52;1.0;2
104.31801;31.75;2.6394703044946373e-52;1.0;2
105.59486;32.0;4.864687663682554e-52;1.0;2
106.87277;32.25;8.956304557493102e-52;1.0;2
108.14964;32.5;1.645518770975987e-51;1.0;2
109.42405;32.75;3.014990505180744e-51;1.0;2
110.69828;33.0;5.515066948919382e-51;1.0;2
111.97273;33.25;1.0073482996550135e-50;1.0;2
113.24768;33.5;1.8375089309185437e-50;1.0;2
114.5243;33.75;3.3491763137978197e-50;1.0;2
115.79992;34.0;6.091994687127556e-50;1.0;2
117.07061;34.25;1.103819991352238e-49;1.0;2
118.34429;34.5;1.9996994152798517e-49;1.0;2
119.61531;34.75;3.612550034452425e-49;1.0;2
120.88649;35.0;6.516547701186832e-49;1.0;2
122.16033;35.25;1.1751071149615514e-48;1.0;2
123.43437;35.5;2.1159076887778988e-48;1.0;2
124.70811;35.75;3.8034280195679555e-48;1.0;2
125.98445;36.0;6.834250724145572e-48;1.0;2
127.25882;36.25;1.2249885310411624e-47;1.0;2
128.53598;36.5;2.1950506035842717e-47;1.0;2
129.81523;36.75;3.930842930234222e-47;1.0;2
131.09562;37.0;7.031775078457982e-47;1.0;2
132.37539;37.25;1.2555521844377416e-46;1.0;2
133.6561;37.5;2.2392455715325312e-46;1.0;2
134.93464;37.75;3.983425208853221e-46;1.0;2
136.21274;38.0;7.07359490959923e-46;1.0;2
137.49378;38.25;1.2557690404692927e-45;1.0;2
138.77313;38.5;2.224147056842661e-45;1.0;2
140.05453;38.75;3.936650056037785e-45;1.0;2
141.33595;39.0;6.956731059147001e-45;1.0;2
142.61859;39.25;1.2280874033140464e-44;1.0;2
143.90183;39.5;2.165101296147015e-44;1.0;2
145.18944;39.75;3.8183125600408727e-44;1.0;2
146.47718;40.0;6.7234789458442665e-44;1.0;2
147.76393;40.25;1.1814978107425166e-43;1.0;2
149.05209;40.5;2.074170324665964e-43;1.0;2
150.3408;40.75;3.6363340528689614e-43;1.0;2
151.62972;41.0;6.365405099411468e-43;1.0;2
152.91426;41.25;1.1103724768985546e-42;1.0;2
154.20148;41.5;1.9360705138279548e-42;1.0;2
155.49062;41.75;3.373162099025245e-42;1.0;2
156.77878;42.0;5.86507600572703e-42;1.0;2
158.06561;42.25;1.0175764960727474e-41;1.0;2
159.35196;42.5;1.7622885028559205e-41;1.0;2
160.63758;42.75;3.046197744135278e-41;1.0;2
161.92341;43.0;5.257563475214807e-41;1.0;2
163.2086;43.25;9.057325311160017e-41;1.0;2
164.4928;43.5;1.5571892839747163e-40;1.0;2
165.78154;43.75;2.678054401353618e-40;1.0;2
167.06936;44.0;4.596564431603483e-40;1.0;2
168.34977;44.25;7.852495095921158e-40;1.0;2
169.63009;44.5;1.3393004733083714e-39;1.0;2
170.91554;44.75;2.2855235038383976e-39;1.0;2
172.19972;45.0;3.891992078419141e-39;1.0;2
173.48406;45.25;6.617517899455146e-39;1.0;2
174.77172;45.5;1.124914693150765e-38;1.0;2
176.05543;45.75;1.9060965604295247e-38;1.0;2
177.33935;46.0;3.224900018325923e-38;1.0;2
178.6242;46.25;5.449552064609275e-38;1.0;2
179.90738;46.5;9.187938668265662e-38;1.0;2
181.18829;46.75;1.5452017935553568e-37;1.0;2
182.47006;47.0;2.5954637678401274e-37;1.0;2
183.75097;47.25;4.351161008253548e-37;1.0;2
185.03425;47.5;7.289879811540909e-37;1.0;2
186.31782;47.75;1.2195376428085155e-36;1.0;2
187.59983;48.0;2.0356757919032615e-36;1.0;2
188.88373;48.25;3.395151128537142e-36;1.0;2
190.16923;48.5;5.6570980880844996e-36;1.0;2
191.45527;48.75;9.412995214077116e-36;1.0;2
192.74072;49.0;1.563389658114911e-35;1.0;2
194.02732;49.25;2.5936400303108017e-35;1.0;2
195.31354;49.5;4.2952968103031934e-35;1.0;2
196.59608;49.75;7.091838901053391e-35;1.0;2
197.87824;50.0;1.16888111254079e-34;1.0;2
199.16401;50.25;1.9261953739976927e-34;1.0;2
200.44764;50.5;3.1664857665412895e-34;1.0;2
201.73136;50.75;5.197310301619455e-34;1.0;2
203.01783;51.0;8.526038290718022e-34;1.0;2
204.30347;51.25;1.3959943695116871e-33;1.0;2
205.58928;51.5;2.282206325238091e-33;1.0;2
206.87537;51.75;3.725451304872069e-33;1.0;2
208.15991;52.0;6.068115271696948e-33;1.0;2
209.44345;52.25;9.864440949239339e-33;1.0;2
210.72681;52.5;1.6009236518354067e-32;1.0;2
212.01088;52.75;2.59473891174937e-32;1.0;2
213.2936;53.0;4.1966782348557146e-32;1.0;2
214.5738;53.25;6.770477579657236e-32;1.0;2
215.85693;53.5;1.091738175338875e-31;1.0;2
217.1376;53.75;1.7560271908254086e-31;1.0;2
218.41693;54.0;2.8186496824480074e-31;1.0;2
219.69612;54.25;4.516916412392163e-31;1.0;2
220.97422;54.5;7.224087249629822e-31;1.0;2
222.25371;54.75;1.154142331920739e-30;1.0;2
223.53235;55.0;1.840409885930037e-30;1.0;2
224.81021;55.25;2.9292804247082727e-30;1.0;2
226.09061;55.5;4.659309348245126e-30;1.0;2
227.36843;55.75;7.392483916140725e-30;1.0;2
228.64768;56.0;1.1716489435898297e-29;1.0;2
229.92791;56.25;1.8546868846662063e-29;1.0;2
231.20642;56.5;2.9294735611900533e-29;1.0;2
232.48561;56.75;4.6209146294732806e-29;1.0;2
233.76529;57.0;7.27872557855473e-29;1.0;2
235.04474;57.25;1.1446179486916496e-28;1.0;2
236.32303;57.5;1.7963947361570703e-28;1.0;2
237.60062;57.75;2.814174003789207e-28;1.0;2
238.87774;58.0;4.400926420103784e-28;1.0;2
240.15528;58.25;6.872529702384235e-28;1.0;2
241.43348;58.5;1.0717759245293571e-27;1.0;2
242.71028;58.75;1.667999019659067e-27;1.0;2
243.98549;59.0;2.590393990808638e-27;1.0;2
245.26213;59.25;4.018527644883239e-27;1.0;2
246.53866;59.5;6.223978721507472e-27;1.0;2
247.81596;59.75;9.627193284637151e-27;1.0;2
249.09604;60.0;1.488185186864828e-26;1.0;2
250.37415;60.25;2.2952891249090836e-26;1.0;2
251.65413;60.5;3.5367666993465323e-26;1.0;2
252.93088;60.75;5.435217886080596e-26;1.0;2
254.20527;61.0;8.332986689152007e-26;1.0;2
255.48188;61.25;1.2765113432606115e-25;1.0;2
256.75935;61.5;1.9529410458063938e-25;1.0;2
258.03566;61.75;2.9819632927111902e-25;1.0;2
259.31061;62.0;4.54399011107223e-25;1.0;2
260.5913;62.25;6.926432461174218e-25;1.0;2
261.86723;62.5;1.0524881845943786e-24;1.0;2
263.14207;62.75;1.59620110092635e-24;1.0;2
264.4204;63.0;2.419739441647379e-24;1.0;2
265.69965;63.25;3.6634766634123444e-24;1.0;2
266.97776;63.5;5.535695617938274e-24;1.0;2
268.25613;63.75;8.352221557202914e-24;1.0;2
269.53536;64.0;1.2585363964364488e-23;1.0;2
270.812;64.25;1.8918412364538586e-23;1.0;2
272.08608;64.5;2.8370502387583185e-23;1.0;2
273.35924;64.75;4.246607400429087e-23;1.0;2
274.63184;65.0;6.345424243008993e-23;1.0;2
275.90614;65.25;9.471778104748465e-23;1.0;2
277.18125;65.5;1.4119884699882932e-22;1.0;2
278.45575;65.75;2.101194742302622e-22;1.0;2
279.72908;66.0;3.120775686820888e-22;1.0;2
281.00597;66.25;4.632934334150631e-22;1.0;2
282.28424;66.5;6.869895867823034e-22;1.0;2
283.55969;66.75;1.016210264317352e-21;1.0;2
284.83607;67.0;1.50126670834549e-21;1.0;2
286.11123;67.25;2.213541893532942e-21;1.0;2
287.38776;67.5;3.2599852851618577e-21;1.0;2
288.66564;67.75;4.795531155115458e-21;1.0;2
289.93998;68.0;7.035764726400235e-21;1.0;2
291.21275;68.25;1.0301509481788943e-20;1.0;2
292.48485;68.5;1.5056508628316047e-20;1.0;2
293.75679;68.75;2.1970922123523517e-20;1.0;2
295.03095;69.0;3.203157849091211e-20;1.0;2
296.30732;69.25;4.6656226353151206e-20;1.0;2
297.58201;69.5;6.781782840530513e-20;1.0;2
298.8559;69.75;9.840004083212426e-20;1.0;2
300.12904;70.0;1.4251854997316462e-19;1.0;2
301.40185;70.25;2.0607540664768773e-19;1.0;2
302.67501;70.5;2.9753984800523403e-19;1.0;2
303.94703;70.75;4.287876358597613e-19;1.0;2
305.21803;71.0;6.167855873841882e-19;1.0;2
306.48649;71.25;8.85187040616809e-19;1.0;2
307.75531;71.5;1.268543015144661e-18;1.0;2
309.02802;71.75;1.8170883149028986e-18;1.0;2
310.29853;72.0;2.5971641447812264e-18;1.0;2
311.56769;72.25;3.704946208362659e-18;1.0;2
312.83753;72.5;5.278018013800003e-18;1.0;2
314.10683;72.75;7.50617203133224e-18;1.0;2
315.37299;73.0;1.064913877441838e-17;1.0;2
316.64198;73.25;1.5096463820301728e-17;1.0;2
317.91197;73.5;2.1373671208578684e-17;1.0;2
319.1809;73.75;3.0205169599299264e-17;1.0;2
320.44907;74.0;4.261069886968956e-17;1.0;2
321.7193;74.25;6.005131508384112e-17;1.0;2
322.98787;74.5;8.446099280254742e-17;1.0;2
324.25798;74.75;1.1865701052065403e-16;1.0;2
325.52625;75.0;1.663571735234355e-16;1.0;2
326.7946;75.25;2.3287568043790383e-16;1.0;2
328.06304;75.5;3.2549343260201126e-16;1.0;2
329.33185;75.75;4.542841100172495e-16;1.0;2
330.59915;76.0;6.327999927283275e-16;1.0;2
331.86755;76.25;8.8035078700806225e-16;1.0;2
333.13933;76.5;1.2239103029499386e-15;1.0;2
334.40904;76.75;1.6979844777388008e-15;1.0;2
335.67245;77.0;2.3482326887348235e-15;1.0;2
336.93544;77.25;3.2421455629698133e-15;1.0;2
338.20055;77.5;4.471860448038918e-15;1.0;2
339.46693;77.75;6.160440933292032e-15;1.0;2
340.73428;78.0;8.4755606132571e-15;1.0;2
342.00115;78.25;1.1641239784900515e-14;1.0;2
343.26709;78.5;1.596086284672246e-14;1.0;2
344.53291;78.75;2.184883866447039e-14;1.0;2
345.80069;79.0;2.9877058114966424e-14;1.0;2
347.06785;79.25;4.0785626393603e-14;1.0;2
348.3319;79.5;5.554866592961555e-14;1.0;2
349.59639;79.75;7.554682984832522e-14;1.0;2
350.86188;80.0;1.0261077484506991e-13;1.0;2
352.1271;80.25;1.3914569306733318e-13;1.0;2
