#EXPORTTYPE:DATA SINGLE
#FTYPE:ANSI
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#PROJECT:
#CORR. FILE:005925_bline_Al2O3_900_7.5_N2_20_air_20.ngb-bs1
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:13
#OPERATOR:
#REMARK:
#SAMPLE:4
#SAMPLE MASS /mg:7.42
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35C/7,5(K/min)/920�C
#SEGMENT:S1/1
#SEG. 1:35�C/7,5(K/min)/920�C

##Temp./�C;Time/min;DSC/(uV/mg);Sensit./(uV/mW)
 34.11100;  0.00000; 5.1411e-004;1.00000
 34.14896;  0.50000;-2.0564e-004;1.00000
 34.59436;  1.00000;-2.2621e-003;1.00000
 35.68375;  1.50000;-9.5624e-003;1.00000
 37.32905;  2.00000;-1.5218e-002;1.00000
 39.42311;  2.50000;-2.0667e-002;1.00000
 41.82416;  3.00000;-2.5397e-002;1.00000
 44.48642;  3.50000;-2.8585e-002;1.00000
 47.36371;  4.00000;-2.9304e-002;1.00000
 50.40853;  4.50000;-2.6631e-002;1.00000
 53.59856;  5.00000;-3.0024e-002;1.00000
 56.91062;  5.50000;-4.2054e-002;1.00000
 60.33416;  6.00000;-4.0923e-002;1.00000
 63.83709;  6.50000;-4.3699e-002;1.00000
 67.40722;  7.00000;-4.9046e-002;1.00000
 71.01816;  7.50000;-4.8121e-002;1.00000
 74.67300;  8.00000;-4.9457e-002;1.00000
 78.36113;  8.50000;-5.2953e-002;1.00000
 82.07220;  9.00000;-5.5421e-002;1.00000
 85.82376;  9.50000;-3.7633e-002;1.00000
 89.60155; 10.00000;-4.1951e-002;1.00000
 93.40258; 10.50000;-4.7607e-002;1.00000
 97.22127; 11.00000;-4.8429e-002;1.00000
101.06360; 11.50000;-5.2336e-002;1.00000
104.91793; 12.00000;-5.5318e-002;1.00000
108.78251; 12.50000;-5.5935e-002;1.00000
112.64249; 13.00000;-5.6861e-002;1.00000
116.50784; 13.50000;-5.6346e-002;1.00000
120.36778; 14.00000;-5.2028e-002;1.00000
124.22933; 14.50000;-4.5447e-002;1.00000
128.09969; 15.00000;-4.1951e-002;1.00000
131.96873; 15.50000;-4.1746e-002;1.00000
135.85067; 16.00000;-4.7607e-002;1.00000
139.73913; 16.50000;-4.3185e-002;1.00000
143.63669; 17.00000;-3.8867e-002;1.00000
147.54049; 17.50000;-4.6887e-002;1.00000
151.44664; 18.00000;-5.0383e-002;1.00000
155.35118; 18.50000;-3.6296e-002;1.00000
159.25395; 19.00000;-3.2800e-002;1.00000
163.15880; 19.50000;-3.7427e-002;1.00000
167.05856; 20.00000;-3.6193e-002;1.00000
170.95380; 20.50000;-3.7016e-002;1.00000
174.86220; 21.00000;-3.4857e-002;1.00000
178.75347; 21.50000;-3.1669e-002;1.00000
182.65780; 22.00000;-3.2183e-002;1.00000
186.56078; 22.50000;-3.0641e-002;1.00000
190.46731; 23.00000;-2.7556e-002;1.00000
194.36991; 23.50000;-2.7042e-002;1.00000
198.27002; 24.00000;-1.4601e-002;1.00000
