#EXPORTTYPE:DATA SINGLE
#FTYPE:ANSI
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#PROJECT:
#CORR. FILE:005925_bline_Al2O3_900_7.5_N2_20_air_20.ngb-bs1
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:13
#OPERATOR:
#REMARK:
#SAMPLE:4
#SAMPLE MASS /mg:7.42
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /V:5000
#TG RANGE /mg:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:35C/7,5(K/min)/920�C
#SEGMENT:S1/1
#SEG. 1:35�C/7,5(K/min)/920�C

##Temp./�C;Time/min;DSC/(uV/mg);Sensit./(uV/mW)
34.14896;0.5;0.0;1.0
34.59436;1.0;0.0;1.0
35.68375;1.5;0.0;1.0
37.32905;2.0;0.0;1.0
39.42311;2.5;0.0;1.0
41.82416;3.0;0.0;1.0
44.48642;3.5;0.0;1.0
47.36371;4.0;0.0;1.0
50.40853;4.5;0.0;1.0
53.59856;5.0;0.0;1.0
56.91062;5.5;0.0;1.0
60.33416;6.0;0.0;1.0
63.83709;6.5;0.0;1.0
67.40722;7.0;0.0;1.0
71.01816;7.5;0.0;1.0
74.673;8.0;0.0;1.0
78.36113;8.5;0.0;1.0
82.0722;9.0;0.0;1.0
85.82376;9.5;0.0;1.0
89.60155;10.0;0.0;1.0
93.40258;10.5;0.0;1.0
97.22127;11.0;0.0;1.0
101.0636;11.5;0.0;1.0
104.91793;12.0;0.0;1.0
108.78251;12.5;0.0;1.0
112.64249;13.0;1.7594e-320;1.0
116.50784;13.5;4.57609243e-316;1.0
120.36778;14.0;1.093262152456e-311;1.0
124.22933;14.5;2.444230283963899e-307;1.0
128.09969;15.0;5.2087527961919677e-303;1.0
131.96873;15.5;1.0305772838616018e-298;1.0
135.85067;16.0;1.9626135387510968e-294;1.0
139.73913;16.5;3.5377761433361277e-290;1.0
143.63669;17.0;6.073006746320631e-286;1.0
147.54049;17.5;9.852884767938709e-282;1.0
151.44664;18.0;1.4959278788986232e-277;1.0
155.35118;18.5;2.104735964713652e-273;1.0
159.25395;19.0;2.7434370244299124e-269;1.0
163.1588;19.5;3.34394019426738e-265;1.0
167.05856;20.0;3.746465980722854e-261;1.0
170.9538;20.5;3.864490719866279e-257;1.0
174.8622;21.0;3.826332081943968e-253;1.0
178.75347;21.5;3.386680081355643e-249;1.0
182.6578;22.0;2.8756635194769747e-245;1.0
186.56078;22.5;2.2648146330104814e-241;1.0
190.46731;23.0;1.6731045615458308e-237;1.0
194.36991;23.5;1.1397424918493637e-233;1.0
198.27002;24.0;7.184148466144735e-230;1.0
202.16893;24.5;4.202714347612162e-226;1.0
206.06338;25.0;2.265628158350987e-222;1.0
209.95464;25.5;1.128912659895662e-218;1.0
213.84576;26.0;5.234594727225889e-215;1.0
217.73087;26.5;2.230487512856352e-211;1.0
221.61424;27.0;8.816424189890728e-208;1.0
225.49647;27.5;3.2370642752925205e-204;1.0
229.38404;28.0;1.1191190883099253e-200;1.0
233.26766;28.5;3.572682300092586e-197;1.0
237.15058;29.0;1.0604585700623365e-193;1.0
241.03071;29.5;2.9143848706199286e-190;1.0
244.90976;30.0;7.442449574061056e-187;1.0
248.78506;30.5;1.7567632630742798e-183;1.0
252.66656;31.0;3.909938693688062e-180;1.0
256.53507;31.5;7.899824112729275e-177;1.0
260.40607;32.0;1.494197226637803e-173;1.0
264.2732;32.5;2.6132093066130263e-170;1.0
268.14446;33.0;4.291622354561871e-167;1.0
272.01558;33.5;6.563803904212774e-164;1.0
275.88229;34.0;9.27508932486179e-161;1.0
279.74731;34.5;1.2173001775692738e-157;1.0
283.61204;35.0;1.4878096989550414e-154;1.0
287.47454;35.5;1.6875146212713817e-151;1.0
291.33366;36.0;1.7727825211944904e-148;1.0
295.18742;36.5;1.719194033637461e-145;1.0
299.03844;37.0;1.5466163508138404e-142;1.0
302.89008;37.5;1.2984676825466908e-139;1.0
306.74185;38.0;1.0164584742935844e-136;1.0
310.59553;38.5;7.441681732517268e-134;1.0
314.44818;39.0;5.069669378696046e-131;1.0
318.30158;39.5;3.22349979767328e-128;1.0
322.14887;40.0;1.8914205500449332e-125;1.0
325.99403;40.5;1.031152074093866e-122;1.0
329.83591;41.0;5.214073873193298e-120;1.0
333.67614;41.5;2.452206541620389e-117;1.0
337.51342;42.0;1.0705627055787624e-114;1.0
341.34351;42.5;4.310673634248273e-112;1.0
345.16604;43.0;1.600584631949524e-109;1.0
348.9924;43.5;5.578451273286254e-107;1.0
352.81507;44.0;1.8040651036421494e-104;1.0
356.63256;44.5;5.402821152172733e-102;1.0
360.4502;45.0;1.5105515083669533e-99;1.0
364.26445;45.5;3.9225327187819486e-97;1.0
368.07553;46.0;9.465206485881591e-95;1.0
371.88493;46.5;2.1272306282355895e-92;1.0
375.69218;47.0;4.450152091100715e-90;1.0
379.50536;47.5;8.763778162867345e-88;1.0
383.31778;48.0;1.6094525012294462e-85;1.0
387.12696;48.5;2.7473214811203898e-83;1.0
390.93715;49.0;4.384318354077272e-81;1.0
394.73795;49.5;6.452695644106438e-79;1.0
398.53796;50.0;8.860358052558982e-77;1.0
402.33673;50.5;1.1344960402972007e-74;1.0
406.13316;51.0;1.3527826201150686e-72;1.0
409.93214;51.5;1.5114662333232408e-70;1.0
413.73369;52.0;1.582213591925113e-68;1.0
417.52987;52.5;1.536887406522353e-66;1.0
421.32731;53.0;1.3965237787295148e-64;1.0
425.12158;53.5;1.1809232714993665e-62;1.0
428.90907;54.0;9.25645834821084e-61;1.0
432.69609;54.5;6.775765003865043e-59;1.0
436.48354;55.0;4.636664895729843e-57;1.0
440.27147;55.5;2.966200997722279e-55;1.0
444.06617;56.0;1.7859000798773939e-53;1.0
447.85389;56.5;9.97078524207809e-52;1.0
451.63731;57.0;5.1782728319568025e-50;1.0
455.42415;57.5;2.5219384468970393e-48;1.0
459.21182;58.0;1.1486143237770315e-46;1.0
462.99486;58.5;4.8658401607092244e-45;1.0
466.78031;59.0;1.930807307937906e-43;1.0
470.55442;59.5;7.082963758378767e-42;1.0
474.32873;60.0;2.4294025898517916e-40;1.0
478.10582;60.5;7.809210659983028e-39;1.0
481.87747;61.0;2.335011517769485e-37;1.0
485.65156;61.5;6.541286328872928e-36;1.0
489.42355;62.0;1.7099542049318952e-34;1.0
493.19251;62.5;4.168340464335855e-33;1.0
496.96454;63.0;9.524531259356859e-32;1.0
500.74402;63.5;2.046827735825456e-30;1.0
504.52424;64.0;4.113539236129573e-29;1.0
508.30342;64.5;7.72034218152822e-28;1.0
512.08816;65.0;1.359925878672248e-26;1.0
515.87489;65.5;2.2417566334063675e-25;1.0
519.66547;66.0;3.462468706452153e-24;1.0
523.46282;66.5;5.019946176782303e-23;1.0
527.26785;67.0;6.833405795580511e-22;1.0
531.11107;67.5;8.907444785476074e-21;1.0
535.00133;68.0;1.1158457876658248e-19;1.0
538.92818;68.5;1.331187661604442e-18;1.0
542.74282;69.0;1.3796386971742098e-17;1.0
546.55013;69.5;1.3289906804232168e-16;1.0
550.38302;70.0;1.212823694111557e-15;1.0
554.18429;70.5;1.0146889885754375e-14;1.0
557.93544;71.0;7.719589891313758e-14;1.0
561.66284;71.5;5.427912387067146e-13;1.0
565.36965;72.0;3.5373372034070345e-12;1.0
569.06301;72.5;2.146260026323186e-11;1.0
572.75413;73.0;1.21956746452511e-10;1.0
576.45703;73.5;6.53136815782947e-10;1.0
580.16107;74.0;3.2797131429680626e-9;1.0
583.86165;74.5;1.5411930491355025e-8;1.0
587.57162;75.0;6.812923779865314e-8;1.0
591.28702;75.5;2.8275280483202635e-7;1.0
595.01128;76.0;1.102767851082219e-6;1.0
598.7338;76.5;4.0253260750032095e-6;1.0
602.46202;77.0;1.3785935189391673e-5;1.0
606.19016;77.5;4.420752225689888e-5;1.0
609.92198;78.0;0.00013287702317604541;1.0
613.6602;78.5;0.00037456721254368016;1.0
617.39442;79.0;0.0009873155918917451;1.0
621.12911;79.5;0.0024365375810564273;1.0
624.86455;80.0;0.005629845579637686;1.0
628.59634;80.5;0.012168331954040683;1.0
632.32544;81.0;0.024611374096558752;1.0
636.05278;81.5;0.046594898475343705;1.0
639.77706;82.0;0.08256524360633685;1.0
643.49529;82.5;0.13690447327601193;1.0
647.21445;83.0;0.21265249710080947;1.0
650.93258;83.5;0.3093543070403317;1.0
654.64953;84.0;0.4214959843064443;1.0
658.36834;84.5;0.5380026163486559;1.0
662.08907;85.0;0.6432612396190542;1.0
665.81225;85.5;0.7203828385653998;1.0
669.52587;86.0;0.7555012686050956;1.0
673.23455;86.5;0.7423260116687763;1.0
676.93171;87.0;0.683665119172944;1.0
680.62133;87.5;0.590418891837853;1.0
684.30083;88.0;0.47839924922833027;1.0
687.97511;88.5;0.36373621877857;1.0
691.6386;89.0;0.2597227942926991;1.0
695.29824;89.5;0.17412028916162273;1.0
698.95684;90.0;0.10957874529394258;1.0
702.6104;90.5;0.06477826824359773;1.0
706.27711;91.0;0.03586991079924349;1.0
709.94662;91.5;0.018628319675622656;1.0
713.63249;92.0;0.00904671617520494;1.0
717.33109;92.5;0.004108285909907628;1.0
721.03893;93.0;0.0017448409816156266;1.0
724.75496;93.5;0.0006929193022076502;1.0
728.46765;94.0;0.00025800612652409873;1.0
732.1838;94.5;8.991056419351612e-5;1.0
735.89875;95.0;2.9361145320240547e-5;1.0
