#EXPORTTYPE:DATA SINGLE
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:001924
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#DATE/TIME:13.12.2016 15:32
#CORR. FILE:001923_bline_Al_250_16_N2_20.ngb-bd3
#TEMPCAL:TCALZERO.TMX
#SENSITIVITY:SENSZERO.EXX
#SAMPLE MASS /mg:8.19
#MATERIAL:íåò
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:-10°C/10,0(K/min)/270°C
#SEGMENT:S2/2
#SEG. 2:-10°C/10,0(K/min)/270°C

##Temp./°C;Time/min;DSC/(uV/mg);Sensit./(uV/mW)
 66.71876;11.04500;    -1.01422;1.00000
 66.88928;11.06200;    -1.01330;1.00000
 67.05995;11.07900;    -1.01208;1.00000
 67.23052;11.09600;    -1.01235;1.00000
 67.40104;11.11300;    -1.01210;1.00000
 67.57207;11.13000;    -1.01190;1.00000
 67.74357;11.14700;    -1.01129;1.00000
 67.91548;11.16400;    -1.01253;1.00000
 68.08787;11.18100;    -1.01340;1.00000
 68.26045;11.19800;    -1.01563;1.00000
 68.43283;11.21500;    -1.01932;1.00000
 68.60519;11.23200;    -1.02137;1.00000
 68.77759;11.24900;    -1.02328;1.00000
 68.94997;11.26600;    -1.02493;1.00000
 69.12234;11.28300;    -1.02605;1.00000
 69.29486;11.30000;    -1.02662;1.00000
 69.46731;11.31700;    -1.02672;1.00000
 69.63944;11.33400;    -1.02406;1.00000
 69.81130;11.35100;    -1.02406;1.00000
 69.98280;11.36800;    -1.02447;1.00000
 70.15393;11.38500;    -1.02431;1.00000
 70.32517;11.40200;    -1.02424;1.00000
 70.49656;11.41900;    -1.02333;1.00000
 70.66809;11.43600;    -1.02180;1.00000
 70.83979;11.45300;    -1.02128;1.00000
 71.01123;11.47000;    -1.02245;1.00000
 71.18199;11.48700;    -1.02207;1.00000
 71.35202;11.50400;    -1.02172;1.00000
 71.52132;11.52100;    -1.01757;1.00000
 71.69034;11.53800;    -1.01544;1.00000
 71.85898;11.55500;    -1.01540;1.00000
 72.02762;11.57200;    -1.01404;1.00000
 72.19623;11.58900;    -1.01534;1.00000
 72.36473;11.60600;    -1.01341;1.00000
 72.53295;11.62300;    -1.01097;1.00000
 72.70117;11.64000;    -1.00730;1.00000
 72.86938;11.65700;    -1.00623;1.00000
 73.03792;11.67400;    -1.00632;1.00000
 73.20695;11.69100;    -1.00657;1.00000
 73.37661;11.70800;    -1.00708;1.00000
