#EXPORTTYPE:DATA SINGLE
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:001922
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#TEMPCAL:TCALZERO.TMX
#SENSITIVITY:SENSZERO.EXX
#SAMPLE:bline
#SAMPLE MASS /mg:6.17
#MATERIAL:íåò
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:-10°C/16,0(K/min)/250°C
#SEGMENT:S2/2
#SEG. 2:-10°C/16,0(K/min)/250°C

##Temp./°C;Time/min;DSC/(uV/mg);Sensit./(uV/mW)
 58.51510;11.00800;    -1.63808;1.00000
 58.69173;11.01900;    -1.63921;1.00000
 58.86799;11.03000;    -1.64045;1.00000
 59.04431;11.04100;    -1.64116;1.00000
 59.22070;11.05200;    -1.64173;1.00000
 59.39698;11.06300;    -1.64350;1.00000
 59.57323;11.07400;    -1.64152;1.00000
 59.74954;11.08500;    -1.64303;1.00000
 59.92582;11.09600;    -1.64575;1.00000
 60.10218;11.10700;    -1.64583;1.00000
 60.27855;11.11800;    -1.64596;1.00000
 60.45512;11.12900;    -1.64549;1.00000
 60.63124;11.14000;    -1.64464;1.00000
 60.80748;11.15100;    -1.64481;1.00000
 60.98347;11.16200;    -1.64310;1.00000
 61.15998;11.17300;    -1.64265;1.00000
 61.33710;11.18400;    -1.64451;1.00000
 61.51404;11.19500;    -1.64655;1.00000
 61.69100;11.20600;    -1.64717;1.00000
 61.86783;11.21700;    -1.64682;1.00000
 62.04464;11.22800;    -1.64732;1.00000
 62.22144;11.23900;    -1.64733;1.00000
 62.39824;11.25000;    -1.64752;1.00000
 62.57507;11.26100;    -1.64707;1.00000
 62.75180;11.27200;    -1.64760;1.00000
 62.92853;11.28300;    -1.64851;1.00000
 63.10527;11.29400;    -1.64883;1.00000
 63.28194;11.30500;    -1.64840;1.00000
 63.45884;11.31600;    -1.64807;1.00000
 63.63519;11.32700;    -1.64658;1.00000
 63.81149;11.33800;    -1.64800;1.00000
 63.98792;11.34900;    -1.64869;1.00000
 64.16441;11.36000;    -1.65004;1.00000
 64.34117;11.37100;    -1.65223;1.00000
 64.51790;11.38200;    -1.65219;1.00000
