#EXPORTTYPE:DATA SINGLE
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:001931
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#DATE/TIME:16.12.2016 11:34
#CORR. FILE:001930_bline_Al_250_2_N2_70.ngb-bd3
#TEMPCAL:TCALZERO.TMX
#SENSITIVITY:SENSZERO.EXX
#SAMPLE MASS /mg:8.25
#MATERIAL:ïðåïðåã
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:24°C/2,0(K/min)/270°C
#SEGMENT:S1/2
#SEG. 1:24°C/2,0(K/min)/270°C

##Temp./°C;Time/min;DSC/(uV/mg);Sensit./(uV/mW)
 48.47032; 12.50000;    -0.19300;1.00000
 48.65077; 12.59000;    -0.19346;1.00000
 48.83116; 12.68000;    -0.19429;1.00000
 49.01148; 12.77000;    -0.19328;1.00000
 49.19182; 12.86000;    -0.19319;1.00000
 49.37217; 12.95000;    -0.19374;1.00000
 49.55263; 13.04000;    -0.19374;1.00000
 49.73304; 13.13000;    -0.19300;1.00000
 49.91339; 13.22000;    -0.19300;1.00000
 50.09371; 13.31000;    -0.19300;1.00000
 50.27408; 13.40000;    -0.19374;1.00000
 50.45446; 13.49000;    -0.19383;1.00000
 50.63471; 13.58000;    -0.19291;1.00000
 50.81511; 13.67000;    -0.19392;1.00000
 50.99547; 13.76000;    -0.19281;1.00000
 51.17587; 13.85000;    -0.19337;1.00000
 51.35623; 13.94000;    -0.19235;1.00000
 51.53665; 14.03000;    -0.19328;1.00000
 51.71702; 14.12000;    -0.19355;1.00000
 51.89734; 14.21000;    -0.19291;1.00000
 52.07761; 14.30000;    -0.19309;1.00000
 52.25793; 14.39000;    -0.19198;1.00000
 52.43820; 14.48000;    -0.19374;1.00000
 52.61851; 14.57000;    -0.19198;1.00000
 52.79885; 14.66000;    -0.19263;1.00000
 52.97911; 14.75000;    -0.19346;1.00000
 53.15942; 14.84000;    -0.19281;1.00000
 53.33969; 14.93000;    -0.19226;1.00000
 53.51987; 15.02000;    -0.19318;1.00000
 53.70009; 15.11000;    -0.19374;1.00000
 53.88029; 15.20000;    -0.19152;1.00000
 54.06054; 15.29000;    -0.19365;1.00000
 54.24073; 15.38000;    -0.19207;1.00000
 54.42088; 15.47000;    -0.19309;1.00000
 54.60096; 15.56000;    -0.19281;1.00000
 54.78102; 15.65000;    -0.19244;1.00000
 54.96117; 15.74000;    -0.19263;1.00000
 55.14135; 15.83000;    -0.19291;1.00000
 55.32145; 15.92000;    -0.19216;1.00000
 55.50163; 16.01000;    -0.19226;1.00000
 55.68177; 16.10000;    -0.19309;1.00000
 55.86197; 16.19000;    -0.19309;1.00000
 56.04208; 16.28000;    -0.19272;1.00000
 56.22222; 16.37000;    -0.19198;1.00000
 56.40249; 16.46000;    -0.19235;1.00000
 56.58271; 16.55000;    -0.19216;1.00000
 56.76291; 16.64000;    -0.19300;1.00000
 56.94304; 16.73000;    -0.19318;1.00000
 57.12311; 16.82000;    -0.19327;1.00000
 57.30334; 16.91000;    -0.19300;1.00000
 57.48344; 17.00000;    -0.19226;1.00000
 57.66350; 17.09000;    -0.19309;1.00000
 57.84366; 17.18000;    -0.19327;1.00000
 58.02377; 17.27000;    -0.19235;1.00000
 58.20392; 17.36000;    -0.19365;1.00000
 58.38396; 17.45000;    -0.19198;1.00000
 58.56402; 17.54000;    -0.19170;1.00000
 58.74410; 17.63000;    -0.19143;1.00000
 58.92421; 17.72000;    -0.19189;1.00000
 59.10432; 17.81000;    -0.19281;1.00000
 59.28442; 17.90000;    -0.19300;1.00000
 59.46449; 17.99000;    -0.19235;1.00000
 59.64468; 18.08000;    -0.19318;1.00000
 59.82480; 18.17000;    -0.19272;1.00000
 60.00495; 18.26000;    -0.19198;1.00000
 60.18505; 18.35000;    -0.19300;1.00000
 60.36516; 18.44000;    -0.19198;1.00000
 60.54526; 18.53000;    -0.19254;1.00000
 60.72533; 18.62000;    -0.19198;1.00000
 60.90544; 18.71000;    -0.19263;1.00000
 61.08551; 18.80000;    -0.19170;1.00000
 61.26552; 18.89000;    -0.19189;1.00000
 61.44554; 18.98000;    -0.19216;1.00000
 61.62549; 19.07000;    -0.19272;1.00000
 61.80544; 19.16000;    -0.19207;1.00000
 61.98539; 19.25000;    -0.19263;1.00000
 62.16542; 19.34000;    -0.19189;1.00000
 62.34548; 19.43000;    -0.19161;1.00000
 62.52546; 19.52000;    -0.19272;1.00000
 62.70553; 19.61000;    -0.19290;1.00000
 62.88566; 19.70000;    -0.19198;1.00000
 63.06576; 19.79000;    -0.19226;1.00000
 63.24590; 19.88000;    -0.19263;1.00000
 63.42600; 19.97000;    -0.19244;1.00000
 63.60614; 20.06000;    -0.19235;1.00000
 63.78622; 20.15000;    -0.19318;1.00000
 63.96632; 20.24000;    -0.19383;1.00000
 64.14631; 20.33000;    -0.19355;1.00000
 64.32637; 20.42000;    -0.19179;1.00000
 64.50640; 20.51000;    -0.19328;1.00000
 64.68638; 20.60000;    -0.19355;1.00000
 64.86636; 20.69000;    -0.19272;1.00000
 65.04634; 20.78000;    -0.19383;1.00000
 65.22637; 20.87000;    -0.19374;1.00000
 65.40640; 20.96000;    -0.19328;1.00000
 65.58638; 21.05000;    -0.19309;1.00000
 65.76642; 21.14000;    -0.19438;1.00000
 65.94644; 21.23000;    -0.19291;1.00000
 66.12659; 21.32000;    -0.19383;1.00000
 66.30654; 21.41000;    -0.19411;1.00000
 66.48655; 21.50000;    -0.19337;1.00000
 66.66659; 21.59000;    -0.19420;1.00000
 66.84656; 21.68000;    -0.19392;1.00000
 67.02658; 21.77000;    -0.19365;1.00000
 67.20655; 21.86000;    -0.19401;1.00000
 67.38653; 21.95000;    -0.19337;1.00000
 67.56660; 22.04000;    -0.19392;1.00000
 67.74665; 22.13000;    -0.19300;1.00000
 67.92666; 22.22000;    -0.19327;1.00000
 68.10666; 22.31000;    -0.19290;1.00000
