#EXPORTTYPE:DATA SINGLE
#FTYPE:ANSI
#IDENTITY:001926
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#DATE/TIME:15.12.2016 08:08
#TEMPCAL:TCALZERO.TMX
#SENSITIVITY:SENSZERO.EXX
#REMARK:
#SAMPLE:ÂÊ-36
#SAMPLE MASS /mg:8.16
#MATERIAL:íåò
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:020
#EXO:+1
#RANGE:-10°C/4,0(K/min)/270°C
#SEGMENT:S2/3
#SEG. 2:-10°C/4,0(K/min)/270°C

##Temp./°C;Time/min;DSC/(uV/mg);Sensit./(uV/mW)
 31.28046;11.97300;    -0.37331;1.00000
 31.47396;12.02300;    -0.37338;1.00000
 31.66770;12.07300;    -0.37307;1.00000
 31.86157;12.12300;    -0.37396;1.00000
 32.05563;12.17300;    -0.37592;1.00000
 32.24983;12.22300;    -0.37560;1.00000
 32.44422;12.27300;    -0.37730;1.00000
 32.63885;12.32300;    -0.37765;1.00000
 32.83363;12.37300;    -0.37832;1.00000
 33.02848;12.42300;    -0.37816;1.00000
 33.22360;12.47300;    -0.37879;1.00000
 33.41886;12.52300;    -0.37917;1.00000
 33.61425;12.57300;    -0.38007;1.00000
 33.80994;12.62300;    -0.38031;1.00000
 34.00581;12.67300;    -0.38128;1.00000
 34.20196;12.72300;    -0.38243;1.00000
 34.39816;12.77300;    -0.38219;1.00000
 34.59457;12.82300;    -0.38285;1.00000
 34.79106;12.87300;    -0.38382;1.00000
 34.98773;12.92300;    -0.38429;1.00000
 35.18460;12.97300;    -0.38530;1.00000
 35.38160;13.02300;    -0.38563;1.00000
 35.57854;13.07300;    -0.38528;1.00000
 35.77558;13.12300;    -0.38549;1.00000
 35.97262;13.17300;    -0.38558;1.00000
 36.16982;13.22300;    -0.38634;1.00000
 36.36709;13.27300;    -0.38692;1.00000
 36.56448;13.32300;    -0.38746;1.00000
 36.76199;13.37300;    -0.38728;1.00000
 36.95955;13.42300;    -0.38915;1.00000
 37.15714;13.47300;    -0.38999;1.00000
 37.35486;13.52300;    -0.38910;1.00000
 37.55271;13.57300;    -0.38922;1.00000
 37.75071;13.62300;    -0.39078;1.00000
 37.94885;13.67300;    -0.38936;1.00000
 38.14696;13.72300;    -0.39026;1.00000
 38.34524;13.77300;    -0.39125;1.00000
 38.54345;13.82300;    -0.39208;1.00000
 38.74185;13.87300;    -0.39244;1.00000
 38.94038;13.92300;    -0.39255;1.00000
 39.13897;13.97300;    -0.39277;1.00000
 39.33754;14.02300;    -0.39360;1.00000
 39.53614;14.07300;    -0.39275;1.00000
 39.73483;14.12300;    -0.39326;1.00000
 39.93360;14.17300;    -0.39387;1.00000
 40.13246;14.22300;    -0.39456;1.00000
 40.33128;14.27300;    -0.39488;1.00000
 40.53030;14.32300;    -0.39398;1.00000
 40.72930;14.37300;    -0.39466;1.00000
 40.92830;14.42300;    -0.39587;1.00000
 41.12729;14.47300;    -0.39663;1.00000
 41.32642;14.52300;    -0.39568;1.00000
 41.52568;14.57300;    -0.39691;1.00000
 41.72483;14.62300;    -0.39588;1.00000
 41.92419;14.67300;    -0.39780;1.00000
 42.12348;14.72300;    -0.39777;1.00000
 42.32294;14.77300;    -0.39740;1.00000
 42.52237;14.82300;    -0.39842;1.00000
 42.72184;14.87300;    -0.39799;1.00000
 42.92137;14.92300;    -0.39863;1.00000
 43.12090;14.97300;    -0.39952;1.00000
 43.32052;15.02300;    -0.39985;1.00000
 43.52011;15.07300;    -0.39918;1.00000
 43.71968;15.12300;    -0.40030;1.00000
 43.91935;15.17300;    -0.39967;1.00000
 44.11904;15.22300;    -0.39902;1.00000
 44.31864;15.27300;    -0.40078;1.00000
 44.51837;15.32300;    -0.39983;1.00000
 44.71807;15.37300;    -0.40115;1.00000
 44.91784;15.42300;    -0.40226;1.00000
 45.11759;15.47300;    -0.40094;1.00000
 45.31741;15.52300;    -0.40184;1.00000
 45.51723;15.57300;    -0.40276;1.00000
 45.71712;15.62300;    -0.40191;1.00000
 45.91694;15.67300;    -0.40171;1.00000
 46.11670;15.72300;    -0.40163;1.00000
 46.31653;15.77300;    -0.40324;1.00000
 46.51639;15.82300;    -0.40187;1.00000
 46.71629;15.87300;    -0.40303;1.00000
 46.91614;15.92300;    -0.40347;1.00000
 47.11604;15.97300;    -0.40301;1.00000
 47.31587;16.02300;    -0.40314;1.00000
 47.51573;16.07300;    -0.40397;1.00000
 47.71577;16.12300;    -0.40350;1.00000
 47.91570;16.17300;    -0.40431;1.00000
 48.11579;16.22300;    -0.40445;1.00000
 48.31601;16.27300;    -0.40414;1.00000
 48.51604;16.32300;    -0.40464;1.00000
 48.71606;16.37300;    -0.40427;1.00000
 48.91616;16.42300;    -0.40389;1.00000
 49.11630;16.47300;    -0.40454;1.00000
 49.31644;16.52300;    -0.40333;1.00000
 49.51645;16.57300;    -0.40449;1.00000
 49.71657;16.62300;    -0.40473;1.00000
 49.91676;16.67300;    -0.40492;1.00000
 50.11675;16.72300;    -0.40511;1.00000
 50.31673;16.77300;    -0.40461;1.00000
 50.51674;16.82300;    -0.40494;1.00000
 50.71687;16.87300;    -0.40625;1.00000
 50.91700;16.92300;    -0.40613;1.00000
 51.11714;16.97300;    -0.40540;1.00000
 51.31724;17.02300;    -0.40569;1.00000
 51.51745;17.07300;    -0.40645;1.00000
 51.71759;17.12300;    -0.40493;1.00000
 51.91769;17.17300;    -0.40681;1.00000
 52.11781;17.22300;    -0.40612;1.00000
 52.31799;17.27300;    -0.40624;1.00000
 52.51816;17.32300;    -0.40571;1.00000
 52.71834;17.37300;    -0.40596;1.00000
 52.91839;17.42300;    -0.40670;1.00000
 53.11847;17.47300;    -0.40568;1.00000
 53.31854;17.52300;    -0.40650;1.00000
 53.51873;17.57300;    -0.40625;1.00000
 53.71887;17.62300;    -0.40633;1.00000
 53.91914;17.67300;    -0.40652;1.00000
 54.11930;17.72300;    -0.40654;1.00000
 54.31938;17.77300;    -0.40697;1.00000
 54.51953;17.82300;    -0.40699;1.00000
 54.71969;17.87300;    -0.40661;1.00000
 54.91988;17.92300;    -0.40678;1.00000
 55.12014;17.97300;    -0.40604;1.00000
 55.32040;18.02300;    -0.40622;1.00000
 55.52065;18.07300;    -0.40718;1.00000
 55.72079;18.12300;    -0.40727;1.00000
 55.92084;18.17300;    -0.40700;1.00000
 56.12110;18.22300;    -0.40782;1.00000
 56.32128;18.27300;    -0.40688;1.00000
 56.52151;18.32300;    -0.40783;1.00000
 56.72173;18.37300;    -0.40719;1.00000
 56.92194;18.42300;    -0.40710;1.00000
 57.12210;18.47300;    -0.40755;1.00000
 57.32226;18.52300;    -0.40773;1.00000
 57.52247;18.57300;    -0.40804;1.00000
 57.72269;18.62300;    -0.40748;1.00000
 57.92296;18.67300;    -0.40766;1.00000
 58.12302;18.72300;    -0.40757;1.00000
 58.32328;18.77300;    -0.40721;1.00000
 58.52337;18.82300;    -0.40767;1.00000
 58.72351;18.87300;    -0.40688;1.00000
 58.92368;18.92300;    -0.40782;1.00000
 59.12381;18.97300;    -0.40723;1.00000
 59.32385;19.02300;    -0.40765;1.00000
 59.52394;19.07300;    -0.40828;1.00000
 59.72406;19.12300;    -0.40856;1.00000
 59.92414;19.17300;    -0.40727;1.00000
 60.12434;19.22300;    -0.40875;1.00000
 60.32455;19.27300;    -0.40812;1.00000
 60.52475;19.32300;    -0.40784;1.00000
 60.72489;19.37300;    -0.40895;1.00000
 60.92504;19.42300;    -0.40840;1.00000
 61.12524;19.47300;    -0.40791;1.00000
 61.32559;19.52300;    -0.40746;1.00000
 61.52578;19.57300;    -0.40898;1.00000
 61.72600;19.62300;    -0.40850;1.00000
 61.92618;19.67300;    -0.40962;1.00000
 62.12637;19.72300;    -0.40936;1.00000
 62.32659;19.77300;    -0.40893;1.00000
 62.52667;19.82300;    -0.40860;1.00000
 62.72689;19.87300;    -0.40869;1.00000
 62.92698;19.92300;    -0.40927;1.00000
 63.12716;19.97300;    -0.40991;1.00000
 63.32722;20.02300;    -0.40963;1.00000
 63.52731;20.07300;    -0.40894;1.00000
 63.72734;20.12300;    -0.40974;1.00000
 63.92743;20.17300;    -0.40829;1.00000
 64.12757;20.22300;    -0.40980;1.00000
 64.32757;20.27300;    -0.40972;1.00000
 64.52781;20.32300;    -0.40953;1.00000
 64.72802;20.37300;    -0.41037;1.00000
 64.92835;20.42300;    -0.41093;1.00000
 65.12859;20.47300;    -0.41026;1.00000
 65.32871;20.52300;    -0.40973;1.00000
 65.52896;20.57300;    -0.41209;1.00000
 65.72926;20.62300;    -0.41148;1.00000
 65.92937;20.67300;    -0.41129;1.00000
 66.12957;20.72300;    -0.41072;1.00000
